cell,nCounts,nFeatures
R1.05.R2.64.R3.29.P1.39,796,787
R1.05.R2.67.R3.20.P1.40,2393,2297
R1.05.R2.70.R3.04.P1.39,727,713
R1.05.R2.70.R3.06.P1.40,676,670
R1.05.R2.71.R3.76.P1.39,733,726
R1.05.R2.72.R3.16.P1.39,425,425
R1.05.R2.75.R3.04.P1.39,639,630
R1.05.R2.88.R3.83.P1.39,1046,1017
R1.05.R2.91.R3.78.P1.39,3663,3526
R1.05.R2.93.R3.13.P1.40,531,525
R1.06.R2.04.R3.58.P1.39,722,712
R1.06.R2.04.R3.85.P1.40,1439,1409
R1.06.R2.10.R3.18.P1.39,2304,2256
R1.06.R2.11.R3.33.P1.40,659,654
R1.06.R2.11.R3.84.P1.40,801,789
R1.06.R2.12.R3.38.P1.39,1345,1331
R1.06.R2.18.R3.22.P1.40,784,774
R1.06.R2.18.R3.79.P1.40,604,600
R1.06.R2.21.R3.28.P1.39,4034,3911
R1.06.R2.24.R3.38.P1.40,476,467
R1.06.R2.29.R3.72.P1.40,968,955
R1.06.R2.33.R3.29.P1.40,1107,1089
R1.06.R2.35.R3.70.P1.39,1506,1480
R1.06.R2.40.R3.23.P1.40,1239,1206
R1.06.R2.42.R3.05.P1.40,699,695
R1.06.R2.45.R3.48.P1.40,931,920
R1.06.R2.50.R3.13.P1.39,1665,1629
R1.06.R2.51.R3.66.P1.39,953,944
R1.06.R2.64.R3.71.P1.39,450,448
R1.06.R2.66.R3.10.P1.39,1042,1027
R1.06.R2.66.R3.76.P1.39,738,730
R1.06.R2.68.R3.44.P1.39,1590,1567
R1.06.R2.70.R3.90.P1.39,536,529
R1.06.R2.72.R3.45.P1.40,846,827
R1.06.R2.75.R3.88.P1.39,782,773
R1.06.R2.78.R3.29.P1.40,622,616
R1.06.R2.79.R3.75.P1.40,465,461
R1.06.R2.83.R3.23.P1.40,928,918
R1.06.R2.88.R3.67.P1.39,1251,1211
R1.06.R2.90.R3.75.P1.39,642,636
R1.06.R2.91.R3.59.P1.40,2363,2304
R1.06.R2.93.R3.56.P1.39,1174,1154
R1.06.R2.93.R3.93.P1.40,536,534
R1.07.R2.01.R3.06.P1.39,699,694
R1.07.R2.02.R3.26.P1.39,3538,3369
R1.07.R2.06.R3.64.P1.40,411,409
R1.07.R2.08.R3.56.P1.39,1348,1323
R1.07.R2.10.R3.83.P1.40,713,703
R1.07.R2.11.R3.90.P1.40,763,751
R1.07.R2.18.R3.45.P1.39,536,527
R1.07.R2.20.R3.71.P1.39,822,808
R1.07.R2.25.R3.91.P1.40,1423,1411
R1.07.R2.30.R3.35.P1.39,781,769
R1.07.R2.30.R3.59.P1.39,1347,1325
R1.07.R2.32.R3.83.P1.40,791,786
R1.07.R2.35.R3.32.P1.39,1149,1135
R1.07.R2.38.R3.86.P1.39,1680,1653
R1.07.R2.39.R3.86.P1.39,518,515
R1.07.R2.41.R3.14.P1.39,5804,5473
R1.07.R2.44.R3.29.P1.40,1466,1441
R1.07.R2.51.R3.38.P1.40,937,924
R1.07.R2.52.R3.61.P1.40,1180,1162
R1.07.R2.58.R3.13.P1.39,1421,1378
R1.07.R2.58.R3.65.P1.39,3639,3503
R1.07.R2.70.R3.79.P1.39,1441,1423
R1.07.R2.73.R3.05.P1.40,1830,1787
R1.07.R2.78.R3.09.P1.40,798,789
R1.07.R2.78.R3.40.P1.40,2198,2134
R1.07.R2.80.R3.17.P1.40,790,782
R1.07.R2.83.R3.05.P1.39,1121,1091
R1.07.R2.85.R3.94.P1.40,1455,1424
R1.07.R2.89.R3.35.P1.39,410,403
R1.07.R2.96.R3.07.P1.40,1214,1193
R1.08.R2.01.R3.27.P1.40,897,887
R1.08.R2.01.R3.37.P1.39,1130,1090
R1.08.R2.04.R3.46.P1.39,466,461
R1.08.R2.04.R3.67.P1.39,586,573
R1.08.R2.10.R3.86.P1.40,3300,3155
R1.08.R2.12.R3.53.P1.39,791,783
R1.08.R2.13.R3.53.P1.40,715,699
R1.08.R2.16.R3.28.P1.39,1019,1004
R1.08.R2.16.R3.59.P1.39,1465,1440
R1.08.R2.17.R3.26.P1.40,826,817
R1.08.R2.19.R3.89.P1.40,3413,3331
R1.08.R2.21.R3.73.P1.39,3454,3258
R1.08.R2.22.R3.53.P1.39,2072,2008
R1.08.R2.23.R3.38.P1.40,595,579
R1.08.R2.28.R3.46.P1.39,1218,1201
