cell,nCounts,nFeatures
"R1.28,R2.28,R3.20,P1.02",2869,2770
"R1.75,R2.05,R3.17,P1.03",1400,1383
"R1.59,R2.16,R3.46,P1.03",2101,2054
"R1.10,R2.26,R3.64,P1.02",1927,1889
"R1.07,R2.48,R3.32,P1.03",13949,12058
"R1.01,R2.73,R3.29,P1.03",1259,1246
"R1.54,R2.39,R3.37,P1.03",1260,1252
"R1.30,R2.14,R3.92,P1.02",3525,3394
"R1.26,R2.77,R3.34,P1.03",4635,4400
"R1.29,R2.77,R3.39,P1.02",11579,10419
"R1.45,R2.66,R3.92,P1.03",2728,2637
"R1.84,R2.66,R3.35,P1.02",2171,2124
"R1.08,R2.01,R3.25,P1.02",6381,5970
"R1.05,R2.04,R3.37,P1.02",1894,1845
"R1.40,R2.61,R3.61,P1.03",3198,3105
"R1.11,R2.51,R3.07,P1.03",299,296
"R1.47,R2.62,R3.65,P1.02",1654,1634
"R1.93,R2.21,R3.23,P1.03",843,836
"R1.30,R2.46,R3.42,P1.02",2522,2438
"R1.03,R2.01,R3.67,P1.03",8350,7613
"R1.14,R2.41,R3.44,P1.03",4220,4035
"R1.04,R2.56,R3.22,P1.03",10565,9474
"R1.01,R2.62,R3.33,P1.02",2178,2137
"R1.31,R2.65,R3.61,P1.03",1221,1210
"R1.20,R2.12,R3.05,P1.03",1114,1102
"R1.11,R2.27,R3.78,P1.03",1309,1297
"R1.88,R2.11,R3.05,P1.03",6361,5911
"R1.37,R2.32,R3.51,P1.03",2450,2376
"R1.44,R2.62,R3.27,P1.02",10087,9061
"R1.27,R2.83,R3.49,P1.03",2894,2808
"R1.06,R2.30,R3.34,P1.02",6730,6507
"R1.01,R2.31,R3.17,P1.02",33818,25797
"R1.57,R2.67,R3.34,P1.02",1178,1171
"R1.84,R2.50,R3.46,P1.03",689,682
"R1.44,R2.21,R3.63,P1.02",11376,10296
"R1.90,R2.03,R3.61,P1.03",4044,3882
"R1.84,R2.84,R3.39,P1.03",9217,8397
"R1.19,R2.84,R3.86,P1.02",535,533
"R1.53,R2.46,R3.85,P1.03",3448,3344
"R1.23,R2.26,R3.82,P1.03",2286,2238
"R1.28,R2.09,R3.55,P1.03",5789,5447
"R1.25,R2.38,R3.79,P1.03",1951,1901
"R1.65,R2.13,R3.24,P1.02",5295,5021
"R1.37,R2.09,R3.04,P1.03",1675,1655
"R1.70,R2.39,R3.42,P1.02",16360,14020
"R1.36,R2.30,R3.42,P1.02",3187,3099
"R1.72,R2.11,R3.61,P1.03",6543,6109
"R1.08,R2.06,R3.02,P1.03",1920,1872
"R1.07,R2.10,R3.60,P1.03",2237,2189
"R1.53,R2.77,R3.94,P1.03",4005,3850
"R1.84,R2.80,R3.77,P1.02",1380,1363
"R1.70,R2.74,R3.37,P1.03",1621,1608
"R1.78,R2.32,R3.44,P1.02",524,517
"R1.01,R2.51,R3.14,P1.03",7700,7096
"R1.01,R2.56,R3.49,P1.03",1653,1634
"R1.84,R2.70,R3.19,P1.03",2784,2699
"R1.87,R2.77,R3.12,P1.03",924,910
"R1.16,R2.77,R3.41,P1.03",682,674
"R1.92,R2.64,R3.64,P1.03",3421,3325
"R1.07,R2.05,R3.02,P1.02",3795,3631
"R1.65,R2.59,R3.18,P1.03",2407,2341
"R1.12,R2.20,R3.37,P1.02",6744,6309
"R1.48,R2.38,R3.10,P1.03",3815,3685
"R1.05,R2.47,R3.30,P1.03",3097,3007
"R1.02,R2.30,R3.91,P1.02",519,518
"R1.71,R2.80,R3.53,P1.02",1155,1135
"R1.21,R2.22,R3.23,P1.03",396,395
"R1.14,R2.30,R3.52,P1.03",3157,3023
"R1.14,R2.20,R3.60,P1.03",2193,2138
"R1.79,R2.44,R3.81,P1.02",281,277
"R1.40,R2.38,R3.79,P1.03",11291,10119
"R1.50,R2.07,R3.74,P1.02",9425,8672
"R1.21,R2.05,R3.74,P1.02",3188,3078
"R1.12,R2.32,R3.21,P1.03",2471,2423
"R1.18,R2.81,R3.11,P1.03",420,419
"R1.32,R2.78,R3.03,P1.02",3142,3011
"R1.54,R2.50,R3.68,P1.02",1989,1942
"R1.23,R2.50,R3.04,P1.02",1838,1785
"R1.24,R2.46,R3.05,P1.02",230,229
"R1.46,R2.17,R3.74,P1.03",2351,2298
"R1.81,R2.21,R3.79,P1.02",3243,3117
"R1.48,R2.83,R3.54,P1.03",280,277
"R1.04,R2.37,R3.15,P1.03",3230,3104
