cell,nCounts,nFeatures
"R1.83,R2.51,R3.86,P1.03",6801,6286
"R1.61,R2.24,R3.51,P1.02",1358,1344
"R1.05,R2.17,R3.32,P1.03",4324,4098
"R1.03,R2.69,R3.01,P1.02",1616,1596
"R1.52,R2.92,R3.87,P1.03",1950,1916
"R1.38,R2.25,R3.20,P1.03",2448,2374
"R1.70,R2.44,R3.81,P1.03",1342,1318
"R1.68,R2.25,R3.81,P1.03",3467,3383
"R1.46,R2.09,R3.03,P1.02",6145,5754
"R1.02,R2.01,R3.38,P1.03",4459,4212
"R1.93,R2.38,R3.47,P1.03",4050,3859
"R1.88,R2.55,R3.31,P1.03",2114,2057
"R1.31,R2.22,R3.36,P1.03",27822,21389
"R1.38,R2.28,R3.03,P1.03",8970,8166
"R1.16,R2.91,R3.16,P1.02",2931,2848
"R1.48,R2.30,R3.41,P1.02",5293,4951
"R1.53,R2.04,R3.75,P1.02",860,847
"R1.03,R2.33,R3.10,P1.03",2028,1987
"R1.14,R2.15,R3.31,P1.03",3336,3197
"R1.49,R2.40,R3.67,P1.03",5752,5373
"R1.51,R2.61,R3.23,P1.03",4208,4000
"R1.72,R2.91,R3.29,P1.03",1772,1739
"R1.52,R2.25,R3.24,P1.02",1020,1012
"R1.13,R2.39,R3.12,P1.03",1918,1860
"R1.43,R2.19,R3.80,P1.03",518,517
"R1.73,R2.24,R3.19,P1.02",6583,6176
"R1.60,R2.27,R3.01,P1.03",12220,10822
"R1.73,R2.45,R3.81,P1.02",2297,2246
"R1.30,R2.83,R3.28,P1.02",6450,6022
"R1.71,R2.57,R3.62,P1.03",2184,2133
"R1.02,R2.68,R3.39,P1.02",6533,6165
"R1.11,R2.70,R3.76,P1.02",1894,1865
"R1.22,R2.01,R3.08,P1.02",2504,2419
"R1.44,R2.17,R3.37,P1.02",3747,3645
"R1.68,R2.45,R3.55,P1.02",1829,1800
"R1.79,R2.72,R3.17,P1.02",1289,1269
"R1.06,R2.06,R3.42,P1.03",1542,1521
"R1.10,R2.50,R3.56,P1.03",2172,2101
"R1.33,R2.16,R3.40,P1.03",2721,2633
"R1.33,R2.20,R3.23,P1.03",2808,2714
"R1.40,R2.12,R3.16,P1.03",9567,8660
"R1.43,R2.69,R3.02,P1.03",2516,2415
"R1.62,R2.34,R3.41,P1.03",1534,1503
"R1.77,R2.37,R3.44,P1.03",3878,3705
"R1.03,R2.93,R3.52,P1.02",950,943
"R1.20,R2.58,R3.06,P1.02",8969,8238
"R1.67,R2.07,R3.49,P1.02",3910,3768
"R1.10,R2.47,R3.43,P1.03",5304,4996
"R1.07,R2.35,R3.28,P1.02",7559,6974
"R1.61,R2.65,R3.61,P1.02",4641,4361
"R1.89,R2.33,R3.48,P1.02",4075,3927
"R1.27,R2.38,R3.12,P1.03",2709,2618
"R1.32,R2.39,R3.07,P1.03",10008,9153
"R1.33,R2.72,R3.11,P1.03",2272,2187
"R1.42,R2.04,R3.85,P1.03",2748,2668
"R1.69,R2.84,R3.29,P1.03",1914,1873
"R1.93,R2.17,R3.31,P1.03",1816,1768
"R1.01,R2.27,R3.77,P1.02",2428,2379
"R1.07,R2.59,R3.09,P1.02",1967,1927
"R1.63,R2.75,R3.29,P1.03",9438,8601
"R1.80,R2.58,R3.27,P1.03",7971,7337
"R1.84,R2.25,R3.34,P1.03",4408,4129
"R1.30,R2.39,R3.67,P1.02",9205,8499
"R1.65,R2.37,R3.55,P1.03",5352,5058
"R1.62,R2.26,R3.79,P1.02",1026,1022
"R1.66,R2.59,R3.39,P1.02",2168,2121
"R1.15,R2.33,R3.71,P1.03",3935,3718
"R1.25,R2.53,R3.60,P1.02",2691,2587
"R1.39,R2.29,R3.03,P1.02",18154,15267
"R1.33,R2.38,R3.03,P1.03",29053,22722
"R1.55,R2.33,R3.23,P1.03",2998,2912
