cell,nCounts,nFeatures
411,3230,1331
412,1761,1001
413,8341,3222
414,5272,1976
415,2749,1173
416,3650,1781
417,10527,3860
418,4036,1960
419,1055,509
420,709,373
421,3924,1830
422,3580,1748
423,5141,2076
424,5185,2238
425,8662,3402
426,1189,714
427,5029,2334
428,708,318
429,1518,849
430,3604,1692
431,7125,2773
432,2502,1147
433,1436,834
434,1667,893
435,1543,908
436,3772,2111
437,2594,1481
438,3390,1523
439,4864,2587
440,2660,1440
441,3988,2139
442,2163,940
443,1656,936
444,1112,583
445,4057,2051
446,2022,1132
447,6678,3004
448,671,402
449,5626,2303
450,4832,2246
451,3329,1726
452,1018,635
453,3273,1713
454,1656,946
455,1946,1148
456,6388,2697
457,6463,2788
458,1687,893
459,4058,1716
460,5448,2409
461,5997,2420
462,7826,2950
463,696,377
464,1347,752
465,14589,5170
466,6493,2757
467,3147,1519
468,2344,1307
469,9694,3750
470,1846,886
471,10164,3544
472,5696,2445
473,6558,2834
474,2530,1302
475,5236,2439
476,4987,2332
477,12768,4446
478,3195,1540
479,6105,2897
480,4474,2086
481,2342,1237
482,3710,1753
483,5949,2620
484,3503,1707
485,1088,648
486,2486,1290
487,4003,1826
488,3936,1842
489,1328,722
490,1127,618
491,4382,2059
492,3169,1490
493,4116,1619
494,2340,1207
495,4775,2199
496,5389,2433
497,1729,886
498,3896,1893
499,1506,792
500,2364,1254
501,1252,721
502,660,409
503,1305,750
504,7370,2837
505,6093,2616
506,1801,968
507,1561,692
508,2720,1470
509,8493,3235
510,2419,1227
511,2972,1417
512,4714,1959
513,5366,2281
514,5498,2353
515,3878,1876
516,2230,1176
517,5251,2391
518,6771,3027
519,2598,1347
520,7094,3021
521,4395,2054
522,2256,1213
523,4156,1855
524,2796,1287
525,4337,2063
526,10719,3255
527,5404,2608
528,5181,2237
529,2680,1309
530,2109,1010
531,3129,1513
532,3854,1822
533,4031,1878
534,2313,1201
535,4341,2138
536,2184,1202
537,2018,1317
538,1182,636
539,3520,1845
540,4652,2468
541,2473,1199
542,2755,1672
543,3058,1544
544,1488,901
545,2736,1446
546,4434,2032
547,4350,2078
548,6094,2752
549,5824,2723
550,1585,961
551,3353,1720
552,2749,1659
553,4485,2283
554,1838,983
555,1752,948
556,5314,2824
557,10563,4135
558,2215,1266
559,6599,2596
560,1818,996
561,3618,1827
562,4071,2147
563,4076,2123
564,3108,1714
565,3968,2034
566,3273,1666
567,5912,2362
568,22730,6207
569,2458,1475
570,2010,1129
571,6376,2688
572,3514,1742
573,5934,2571
574,1056,613
575,928,522
576,2043,1085
577,4058,1703
578,3498,1776
579,826,510
580,4886,2192
581,6558,2768
582,5980,2641
583,2084,1124
584,1863,995
585,1403,861
586,5654,2068
587,709,468
588,3770,1856
589,4810,2161
590,9419,3521
591,4655,2025
592,1167,660
593,3545,1680
594,4511,2028
595,837,410
596,2605,1247
597,771,382
598,2834,1509
599,1092,578
600,1436,787
601,19343,5191
602,6135,2786
603,3662,1692
604,6971,2492
605,14437,4597
606,904,535
607,6456,2146
608,2059,1045
609,5284,2281
610,1746,948
611,1390,756
612,9658,3233
613,4767,1936
614,1597,899
615,2453,909
616,3572,1710
617,3410,1620
618,2621,1371
619,3803,1776
620,6649,2640
621,4435,2026
622,3087,1479
623,5659,2528
624,2513,1242
625,3359,1360
626,1133,626
627,2959,1452
628,2413,1227
629,5393,2426
