cell,nCounts,nFeatures
511,472,370
512,752,594
513,1014,803
514,522,386
515,308,250
516,420,343
517,459,383
518,523,367
519,856,660
520,235,204
521,286,230
522,320,254
523,1824,1411
524,230,199
525,387,319
526,396,312
527,643,498
528,483,387
529,958,737
530,915,700
531,494,361
532,1218,919
533,850,690
534,523,388
535,329,216
536,498,408
537,658,521
538,914,693
539,595,483
540,695,522
541,800,656
542,340,284
543,520,388
544,465,345
545,959,742
546,831,645
547,303,218
548,483,389
549,645,511
550,467,363
551,879,735
552,312,240
553,486,372
554,557,491
555,882,689
556,1458,1039
557,2273,1550
558,232,167
559,703,520
560,1291,987
561,570,457
562,1289,970
563,514,416
564,479,384
565,264,222
566,305,241
567,497,344
568,288,227
569,301,237
570,1159,897
571,324,248
572,1080,848
573,866,666
574,376,316
575,247,187
576,557,449
577,435,349
578,253,209
579,693,560
580,905,739
581,647,520
582,487,397
583,432,376
584,460,332
585,673,505
586,405,293
587,526,419
588,529,417
589,295,236
590,689,516
591,1021,754
592,816,596
593,531,385
594,982,742
595,251,199
596,1058,798
597,290,207
598,395,331
599,1351,1119
600,359,280
601,493,378
602,421,337
603,554,425
604,394,298
605,221,169
606,1036,807
607,291,240
608,730,570
609,264,225
610,1191,906
611,739,562
612,578,469
613,392,324
614,393,281
615,356,264
616,497,397
617,612,501
618,1197,907
619,294,239
620,566,384
621,469,361
622,872,676
623,346,277
624,950,743
625,370,282
626,379,285
627,501,407
628,747,583
629,237,180
630,659,464
631,445,333
632,271,216
633,350,313
634,403,291
635,718,609
636,1221,923
637,444,321
638,379,274
639,756,616
640,649,477
641,271,197
642,349,303
643,678,553
644,789,599
645,701,536
646,342,268
647,1686,1162
648,621,489
649,419,306
650,836,638
651,561,437
652,467,369
653,619,462
654,412,321
655,1094,791
656,355,255
657,407,336
658,884,715
659,797,645
660,1272,963
661,705,546
662,986,775
663,549,463
664,200,166
665,482,377
666,718,600
667,379,313
668,812,664
669,611,463
670,486,278
671,961,736
672,426,304
673,498,356
674,417,312
675,1658,1113
676,382,272
677,386,273
678,401,297
679,416,280
680,812,619
681,452,378
682,458,340
683,273,216
684,441,301
685,336,265
686,458,353
687,3630,2431
688,468,324
689,486,389
690,575,437
691,288,251
692,1203,978
693,777,613
694,465,347
695,972,713
696,341,274
697,1076,822
698,429,265
699,428,346
700,1001,754
701,792,548
702,1777,1307
703,541,415
704,958,648
705,1142,855
706,1130,807
707,439,344
708,514,420
709,379,287
710,317,218
711,589,464
712,382,303
713,429,340
714,1020,786
715,388,272
716,850,660
717,352,260
718,535,406
719,674,511
720,309,199
721,1176,934
722,538,403
723,1315,953
724,1464,1076
725,603,480
726,547,455
727,1378,1036
728,437,336
729,369,263
730,3296,2402
731,651,486
732,795,639
733,413,265
734,351,208
735,489,401
736,2596,1811
737,985,772
