cell,nCounts,nFeatures
"R1.39,R2.37,R3.73,P1.34",2460,2370
"R1.59,R2.19,R3.55,P1.34",1215,1157
"R1.47,R2.83,R3.60,P1.31",960,937
"R1.63,R2.07,R3.21,P1.36",5453,5067
"R1.51,R2.89,R3.79,P1.32",208,207
"R1.50,R2.07,R3.04,P1.35",1092,1069
"R1.39,R2.10,R3.08,P1.34",9040,8040
"R1.58,R2.13,R3.16,P1.33",3948,3717
"R1.41,R2.84,R3.23,P1.36",2104,2024
"R1.37,R2.63,R3.49,P1.35",1898,1829
"R1.54,R2.70,R3.06,P1.31",5212,4797
"R1.47,R2.71,R3.37,P1.37",1856,1811
"R1.33,R2.54,R3.32,P1.31",4306,4022
"R1.42,R2.53,R3.86,P1.34",1763,1713
"R1.39,R2.08,R3.41,P1.35",2264,2202
"R1.60,R2.78,R3.56,P1.35",2316,2238
"R1.45,R2.63,R3.60,P1.31",790,780
"R1.50,R2.50,R3.39,P1.35",15455,12642
"R1.49,R2.70,R3.91,P1.33",1566,1515
"R1.52,R2.51,R3.12,P1.31",477,477
"R1.44,R2.13,R3.48,P1.36",5235,4833
"R1.56,R2.25,R3.34,P1.35",4992,4614
"R1.44,R2.05,R3.57,P1.33",963,951
"R1.33,R2.42,R3.28,P1.31",2593,2478
"R1.61,R2.44,R3.21,P1.35",6005,5469
"R1.61,R2.20,R3.23,P1.36",9900,8672
"R1.55,R2.15,R3.36,P1.36",1528,1480
"R1.44,R2.62,R3.35,P1.35",4014,3760
"R1.38,R2.29,R3.92,P1.36",1680,1639
"R1.57,R2.22,R3.53,P1.34",299,294
"R1.34,R2.21,R3.41,P1.34",551,543
"R1.41,R2.56,R3.33,P1.36",3027,2905
"R1.58,R2.32,R3.41,P1.34",1137,1113
"R1.52,R2.50,R3.28,P1.37",497,491
"R1.44,R2.68,R3.82,P1.36",3741,3562
"R1.41,R2.82,R3.85,P1.33",1193,1171
"R1.45,R2.28,R3.29,P1.32",1423,1393
"R1.44,R2.32,R3.67,P1.33",1649,1618
"R1.61,R2.09,R3.65,P1.36",2555,2454
"R1.55,R2.07,R3.80,P1.33",541,536
"R1.64,R2.37,R3.15,P1.34",3599,3418
"R1.38,R2.62,R3.05,P1.36",3676,3430
"R1.41,R2.09,R3.24,P1.34",1947,1867
"R1.40,R2.40,R3.55,P1.36",1571,1547
"R1.43,R2.31,R3.23,P1.36",5307,4943
"R1.59,R2.17,R3.62,P1.33",1161,1144
"R1.40,R2.48,R3.17,P1.31",1381,1349
"R1.59,R2.10,R3.53,P1.33",876,867
"R1.61,R2.73,R3.70,P1.31",2293,2224
"R1.37,R2.83,R3.51,P1.35",3808,3571
"R1.60,R2.15,R3.17,P1.32",584,580
"R1.50,R2.01,R3.55,P1.36",2131,2069
"R1.55,R2.68,R3.38,P1.36",275,272
"R1.63,R2.13,R3.07,P1.35",1405,1364
"R1.54,R2.15,R3.72,P1.35",11520,9914
"R1.46,R2.11,R3.20,P1.33",1318,1286
"R1.59,R2.22,R3.30,P1.37",2963,2850
"R1.58,R2.36,R3.83,P1.34",529,522
"R1.44,R2.51,R3.42,P1.32",456,448
"R1.54,R2.44,R3.66,P1.35",2820,2691
"R1.54,R2.96,R3.52,P1.34",928,922
"R1.33,R2.48,R3.48,P1.35",5191,4790
"R1.58,R2.56,R3.14,P1.36",2238,2176
"R1.60,R2.02,R3.67,P1.34",1198,1170
"R1.58,R2.86,R3.40,P1.37",1898,1852
"R1.42,R2.49,R3.27,P1.32",434,430
"R1.44,R2.88,R3.90,P1.37",5560,5133
"R1.58,R2.25,R3.51,P1.35",5546,5132
"R1.41,R2.65,R3.29,P1.31",1839,1786
"R1.63,R2.62,R3.34,P1.34",1338,1300
"R1.38,R2.06,R3.85,P1.31",4439,4184
"R1.64,R2.41,R3.86,P1.35",4263,4006
"R1.37,R2.20,R3.01,P1.36",1081,1067
"R1.54,R2.50,R3.71,P1.33",921,909
"R1.53,R2.25,R3.86,P1.35",1470,1432
"R1.49,R2.15,R3.30,P1.36",1961,1903
"R1.60,R2.26,R3.08,P1.36",1815,1746
"R1.58,R2.50,R3.58,P1.36",1338,1311
"R1.36,R2.50,R3.61,P1.36",3449,3254
"R1.36,R2.61,R3.94,P1.33",2870,2768
"R1.62,R2.03,R3.72,P1.33",1078,1058
"R1.51,R2.19,R3.47,P1.36",2091,2011
"R1.50,R2.51,R3.19,P1.34",3520,3342
"R1.64,R2.92,R3.81,P1.34",4130,3875
"R1.52,R2.22,R3.82,P1.36",569,565
"R1.48,R2.22,R3.01,P1.35",1758,1712
"R1.55,R2.76,R3.20,P1.35",5254,4777
"R1.34,R2.22,R3.61,P1.37",6717,6134
"R1.57,R2.65,R3.25,P1.35",1418,1378
"R1.63,R2.34,R3.50,P1.34",2771,2660
"R1.52,R2.19,R3.76,P1.37",5819,5328
"R1.36,R2.48,R3.96,P1.33",4824,4478
"R1.59,R2.16,R3.22,P1.31",3976,3736
"R1.63,R2.19,R3.83,P1.35",1683,1641
"R1.34,R2.94,R3.10,P1.36",579,573
"R1.52,R2.35,R3.92,P1.36",2295,2210
"R1.51,R2.38,R3.34,P1.32",544,537
"R1.39,R2.67,R3.76,P1.33",824,810
"R1.47,R2.93,R3.36,P1.34",1457,1415
"R1.49,R2.91,R3.03,P1.34",3434,3289
"R1.52,R2.39,R3.58,P1.37",1648,1604
"R1.56,R2.72,R3.52,P1.35",716,703
"R1.33,R2.15,R3.01,P1.31",1965,1903
"R1.63,R2.52,R3.08,P1.36",7961,7213
"R1.56,R2.83,R3.74,P1.33",1153,1137
"R1.35,R2.26,R3.51,P1.37",14135,11604
"R1.40,R2.55,R3.26,P1.36",3624,3408
"R1.46,R2.30,R3.85,P1.35",3579,3342
"R1.53,R2.44,R3.47,P1.36",1465,1435
"R1.39,R2.51,R3.61,P1.36",531,518
"R1.45,R2.26,R3.27,P1.36",8474,7491
"R1.35,R2.66,R3.78,P1.36",4096,3872
"R1.45,R2.52,R3.93,P1.33",228,228
"R1.49,R2.08,R3.10,P1.35",230,230
"R1.58,R2.28,R3.75,P1.33",847,835
"R1.41,R2.36,R3.41,P1.34",2736,2625
"R1.57,R2.65,R3.12,P1.37",1073,1053
"R1.45,R2.86,R3.15,P1.37",2093,2026
"R1.45,R2.13,R3.58,P1.33",1658,1621
"R1.33,R2.79,R3.77,P1.35",1378,1345
"R1.63,R2.02,R3.71,P1.31",3468,3284
"R1.48,R2.10,R3.26,P1.33",552,542
"R1.52,R2.63,R3.28,P1.34",4039,3777
"R1.40,R2.16,R3.67,P1.34",1205,1167
"R1.44,R2.13,R3.76,P1.34",1179,1155
