cell,nCounts,nFeatures
"R1.34,R2.64,R3.27,P1.43",1097,864
"R1.34,R2.66,R3.32,P1.44",4818,2762
"R1.34,R2.66,R3.36,P1.39",2054,1458
"R1.34,R2.66,R3.80,P1.40",3409,2124
"R1.34,R2.67,R3.29,P1.43",3165,2057
"R1.34,R2.67,R3.64,P1.44",4617,2764
"R1.34,R2.70,R3.61,P1.44",895,744
"R1.34,R2.73,R3.43,P1.39",878,695
"R1.34,R2.74,R3.66,P1.42",1573,1173
"R1.34,R2.80,R3.33,P1.39",639,539
"R1.34,R2.82,R3.32,P1.42",4789,2635
"R1.34,R2.82,R3.40,P1.43",3352,2133
"R1.34,R2.87,R3.39,P1.42",1584,1173
"R1.34,R2.88,R3.91,P1.41",607,492
"R1.34,R2.91,R3.75,P1.44",622,528
"R1.34,R2.94,R3.10,P1.44",964,774
"R1.34,R2.95,R3.48,P1.42",612,516
"R1.34,R2.95,R3.67,P1.44",668,567
"R1.34,R2.95,R3.68,P1.44",230,209
"R1.35,R2.01,R3.45,P1.40",4142,2433
"R1.35,R2.02,R3.30,P1.45",843,677
"R1.35,R2.03,R3.53,P1.42",1111,846
"R1.35,R2.04,R3.19,P1.45",928,667
"R1.35,R2.06,R3.76,P1.45",4850,2663
"R1.35,R2.06,R3.95,P1.43",1313,1024
"R1.35,R2.08,R3.91,P1.41",2135,1562
"R1.35,R2.09,R3.54,P1.44",1565,1165
"R1.35,R2.10,R3.23,P1.45",1634,1172
"R1.35,R2.11,R3.04,P1.42",587,483
"R1.35,R2.11,R3.08,P1.40",2027,1387
"R1.35,R2.14,R3.39,P1.39",2137,1474
"R1.35,R2.15,R3.70,P1.43",1892,1356
"R1.35,R2.16,R3.87,P1.45",1120,879
"R1.35,R2.17,R3.26,P1.45",1209,973
"R1.35,R2.17,R3.57,P1.45",1451,1083
"R1.35,R2.19,R3.16,P1.45",1104,829
"R1.35,R2.19,R3.71,P1.42",6049,3095
"R1.35,R2.20,R3.07,P1.39",1311,1017
"R1.35,R2.23,R3.06,P1.43",3023,1988
"R1.35,R2.25,R3.26,P1.42",2015,1367
"R1.35,R2.26,R3.51,P1.45",17884,5701
"R1.35,R2.26,R3.78,P1.41",1973,1389
"R1.35,R2.26,R3.92,P1.44",1329,976
"R1.35,R2.27,R3.25,P1.45",881,751
"R1.35,R2.27,R3.48,P1.44",1050,812
"R1.35,R2.28,R3.20,P1.40",3603,2250
"R1.35,R2.28,R3.65,P1.42",1457,1122
"R1.35,R2.30,R3.09,P1.41",1113,896
"R1.35,R2.30,R3.42,P1.42",1120,825
"R1.35,R2.32,R3.10,P1.43",1438,1099
"R1.35,R2.32,R3.27,P1.42",3297,2066
"R1.35,R2.32,R3.69,P1.40",1649,1110
"R1.35,R2.33,R3.72,P1.43",1536,1104
"R1.35,R2.33,R3.82,P1.43",1946,1426
"R1.35,R2.34,R3.17,P1.44",2060,1509
"R1.35,R2.34,R3.58,P1.39",790,653
"R1.35,R2.34,R3.79,P1.41",2058,1340
"R1.35,R2.35,R3.58,P1.39",887,710
"R1.35,R2.38,R3.56,P1.44",1588,1178
"R1.35,R2.38,R3.68,P1.44",2513,1781
"R1.35,R2.38,R3.71,P1.39",1505,1149
"R1.35,R2.39,R3.73,P1.42",3855,2294
"R1.35,R2.39,R3.83,P1.41",1379,1038
"R1.35,R2.43,R3.33,P1.42",1470,1075
"R1.35,R2.43,R3.48,P1.44",1352,1031
"R1.35,R2.43,R3.60,P1.41",1293,991
"R1.35,R2.43,R3.86,P1.39",2532,1689
"R1.35,R2.46,R3.30,P1.39",4859,2615
"R1.35,R2.47,R3.19,P1.41",982,774
"R1.35,R2.48,R3.39,P1.41",1374,1014
"R1.35,R2.48,R3.70,P1.43",5851,3057
"R1.35,R2.48,R3.75,P1.43",200,186
"R1.35,R2.49,R3.04,P1.44",1009,722
"R1.35,R2.49,R3.11,P1.41",295,245
"R1.35,R2.50,R3.47,P1.39",1897,1384
"R1.35,R2.53,R3.51,P1.44",1703,1280
"R1.35,R2.55,R3.62,P1.39",1263,944
"R1.35,R2.57,R3.15,P1.40",252,229
"R1.35,R2.58,R3.18,P1.44",2820,1902
"R1.35,R2.60,R3.38,P1.39",1551,1118
"R1.35,R2.60,R3.82,P1.41",585,469
"R1.35,R2.60,R3.90,P1.44",1919,1388
"R1.35,R2.61,R3.75,P1.40",2212,1423
"R1.35,R2.61,R3.88,P1.39",6563,3339
"R1.35,R2.63,R3.57,P1.42",11598,4511
"R1.35,R2.64,R3.05,P1.41",1386,1082
"R1.35,R2.64,R3.60,P1.41",2426,1637
"R1.35,R2.65,R3.10,P1.40",2339,1550
"R1.35,R2.66,R3.47,P1.43",4850,2737
"R1.35,R2.66,R3.78,P1.44",4678,2684
"R1.35,R2.67,R3.47,P1.40",2590,1677
"R1.35,R2.67,R3.55,P1.41",1144,895
"R1.35,R2.67,R3.84,P1.44",796,653
"R1.35,R2.68,R3.32,P1.39",1525,1120
"R1.35,R2.73,R3.61,P1.43",3294,2125
"R1.35,R2.79,R3.06,P1.40",362,319
"R1.35,R2.79,R3.07,P1.41",4711,2678
"R1.35,R2.80,R3.20,P1.43",1885,1378
"R1.35,R2.80,R3.60,P1.44",1383,1079
"R1.35,R2.83,R3.12,P1.42",7158,3297
"R1.35,R2.85,R3.21,P1.43",1490,1102
"R1.35,R2.86,R3.01,P1.43",1538,1150
"R1.35,R2.86,R3.57,P1.41",3161,2103
"R1.35,R2.90,R3.18,P1.39",2258,1534
"R1.35,R2.90,R3.28,P1.44",5306,2929
"R1.35,R2.90,R3.31,P1.44",1737,1288
"R1.35,R2.91,R3.86,P1.42",7957,3720
"R1.35,R2.92,R3.05,P1.40",1290,1013
"R1.36,R2.01,R3.05,P1.42",1873,1306
"R1.36,R2.02,R3.54,P1.43",6303,3238
"R1.36,R2.03,R3.75,P1.44",3701,2264
"R1.36,R2.04,R3.78,P1.43",1633,1150
"R1.36,R2.05,R3.77,P1.39",878,742
"R1.36,R2.06,R3.16,P1.44",280,253
"R1.36,R2.06,R3.86,P1.43",2502,1612
"R1.36,R2.08,R3.17,P1.44",2419,1619
"R1.36,R2.08,R3.17,P1.45",2438,1623
"R1.36,R2.09,R3.08,P1.44",2000,1445
"R1.36,R2.10,R3.06,P1.43",2116,1493
"R1.36,R2.11,R3.57,P1.40",469,373
"R1.36,R2.11,R3.87,P1.39",934,790
"R1.36,R2.14,R3.91,P1.43",2980,1945
"R1.36,R2.15,R3.89,P1.41",4610,2660
"R1.36,R2.16,R3.21,P1.43",983,784
"R1.36,R2.16,R3.62,P1.44",856,727
"R1.36,R2.17,R3.64,P1.41",2801,1855
"R1.36,R2.19,R3.68,P1.41",3665,2279
"R1.36,R2.20,R3.12,P1.39",3087,1935
"R1.36,R2.20,R3.78,P1.40",3595,2225
"R1.36,R2.22,R3.41,P1.39",1376,995
"R1.36,R2.27,R3.07,P1.43",3129,2040
"R1.36,R2.27,R3.96,P1.41",951,733
"R1.36,R2.28,R3.90,P1.44",1389,1056
"R1.36,R2.29,R3.24,P1.40",2860,1799
"R1.36,R2.29,R3.60,P1.40",2020,1438
"R1.36,R2.29,R3.74,P1.40",1915,1337
"R1.36,R2.29,R3.91,P1.45",672,553
"R1.36,R2.29,R3.95,P1.45",11171,4540
"R1.36,R2.31,R3.19,P1.43",3047,1945
"R1.36,R2.32,R3.57,P1.43",1169,954
"R1.36,R2.32,R3.62,P1.41",954,783
"R1.36,R2.33,R3.76,P1.42",1558,1129
"R1.36,R2.35,R3.27,P1.45",880,689
"R1.36,R2.37,R3.60,P1.40",4107,2380
"R1.36,R2.38,R3.41,P1.42",2452,1670
"R1.36,R2.40,R3.41,P1.44",834,647
"R1.36,R2.41,R3.59,P1.44",1156,915
"R1.36,R2.41,R3.62,P1.44",948,781
"R1.36,R2.42,R3.49,P1.39",1655,1208
"R1.36,R2.43,R3.51,P1.40",1873,1356
"R1.36,R2.43,R3.57,P1.40",836,671
"R1.36,R2.45,R3.96,P1.43",1230,996
"R1.36,R2.46,R3.61,P1.43",11844,4610
"R1.36,R2.48,R3.96,P1.41",5555,3014
"R1.36,R2.50,R3.61,P1.44",3216,2110
"R1.36,R2.51,R3.09,P1.40",2752,1748
"R1.36,R2.51,R3.60,P1.44",1331,1000
"R1.36,R2.51,R3.74,P1.45",3806,2329
"R1.36,R2.51,R3.95,P1.43",1824,1286
"R1.36,R2.52,R3.16,P1.41",6323,3207
"R1.36,R2.52,R3.22,P1.39",1920,1383
"R1.36,R2.53,R3.48,P1.42",4587,2539
"R1.36,R2.54,R3.15,P1.39",1663,1183
"R1.36,R2.57,R3.64,P1.39",7591,3722
"R1.36,R2.58,R3.58,P1.44",846,697
"R1.36,R2.60,R3.26,P1.45",942,722
"R1.36,R2.61,R3.08,P1.45",2914,1865
"R1.36,R2.61,R3.16,P1.39",1247,961
"R1.36,R2.61,R3.94,P1.41",2846,1839
"R1.36,R2.62,R3.35,P1.45",3210,2025
"R1.36,R2.63,R3.68,P1.39",2451,1538
"R1.36,R2.64,R3.59,P1.40",2822,1872
"R1.36,R2.65,R3.78,P1.45",2624,1755
"R1.36,R2.66,R3.48,P1.45",2234,1589
"R1.36,R2.73,R3.82,P1.43",2350,1579
"R1.36,R2.74,R3.27,P1.42",4682,2663
"R1.36,R2.74,R3.32,P1.42",5124,2854
"R1.36,R2.75,R3.81,P1.41",934,739
"R1.36,R2.76,R3.08,P1.45",1690,1156
"R1.36,R2.77,R3.62,P1.44",842,702
"R1.36,R2.78,R3.62,P1.44",1063,840
"R1.36,R2.79,R3.57,P1.43",663,551
"R1.36,R2.80,R3.45,P1.42",2706,1707
"R1.36,R2.84,R3.80,P1.44",1991,1502
"R1.36,R2.84,R3.87,P1.45",844,643
"R1.36,R2.85,R3.17,P1.45",1425,1067
"R1.36,R2.87,R3.21,P1.43",1305,1007
"R1.36,R2.87,R3.55,P1.43",1552,1204
"R1.36,R2.87,R3.76,P1.39",1427,1106
"R1.36,R2.88,R3.72,P1.40",551,409
"R1.36,R2.90,R3.07,P1.43",6700,3427
"R1.36,R2.91,R3.21,P1.41",2446,1696
"R1.36,R2.91,R3.48,P1.43",1044,825
"R1.36,R2.92,R3.22,P1.41",8296,3761
"R1.36,R2.92,R3.61,P1.42",1761,1239
"R1.36,R2.93,R3.41,P1.39",1403,1026
"R1.36,R2.95,R3.48,P1.40",772,602
"R1.36,R2.96,R3.62,P1.39",3627,2246
"R1.37,R2.02,R3.50,P1.39",2414,1567
"R1.37,R2.05,R3.23,P1.41",1031,823
