"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"Serpine2",2.59053532409023,2.42323695790123,2.26770724047527,2.12396601812467,1.99187625040032,1.87118226308149,1.76154408929391,1.66256780721143,1.57383202245171,1.49491082566818,1.42539301352742,1.36469033927155,1.31180449225802,1.26581656684899,1.22594295282005,1.19151285390241,1.16194974776629,1.13675602227518,1.11550017943737,1.0978061213141,1.08334412892516,1.07182322180829,1.06298464684596,1.0565962937378,1.05244787374524,1.05034673013796,1.05011417473872,1.05158226634437,1.05459096457017,1.05898560757681,1.06461467477747,1.07132780643086,1.07897406133737,1.08740040190993,1.09645040285171,1.10596318563839,1.11577258601637,1.12570656578768,1.13558688321694,1.14522903839379,1.15444251072456,1.16303130530377,1.17079482312405,1.1775290668253,1.18302818888717,1.18708638279578,1.18950010977926,1.19007064428446,1.18860691061421,1.18492857130194,1.17886931520688,1.17028028144811,1.15908137979943,1.14538812864808,1.12936966153187,1.11120511456711,1.09108103169645,1.06918885534258,1.04572253865836,1.02087630971104,0.994842611964145,0.967810239500374,0.93996267971453,0.911476670825123,0.882520976608279,0.853255376323964,0.823829863933203,0.794384047424151,0.76504673638174,0.735935703839645,0.707157606918785,0.678808049745809,0.650971771611298,0.623722943217746,0.597125554125023,0.571233875068074,0.546092979640263,0.521739310850926,0.498201279225243,0.475499880370917,0.453649321246936,0.432657645697572,0.412527351128286,0.393255989473143,0.374836746814892,0.357258985976907,0.34050302854791,0.324532949488338,0.309311889978627,0.294804719930566,0.280977956907331,0.267799688846271,0.255239500406121,0.243268402768622,0.231858766732554,0.220984258945753,0.210619781127935,0.200741412144061,0.191326352794539,0.182352873194846
"Neu4",1.89815627648799,1.71520377677096,1.55077216947904,1.40370970625639,1.27277651424874,1.15670087371865,1.05422315333368,0.964128958983447,0.885273188764066,0.816596692501085,0.75713665913282,0.705884592103024,0.661636067945881,0.623348195471859,0.590158041406946,0.561347848907057,0.536317453527284,0.514562290120445,0.495655764064596,0.479235045785722,0.464989563342348,0.452651631796925,0.441988783345042,0.432797458374778,0.424897791934887,0.41812928781373,0.412347217531783,0.407419616991679,0.403224781531817,0.39964918235771,0.396585745026973,0.393932444769505,0.391591184623525,0.389466931165485,0.387467089372146,0.385501103134391,0.383480271324623,0.381317771228107,0.378928881674143,0.376231397420916,0.373146224334907,0.369598141756025,0.365516714278902,0.360837330178988,0.355502338092748,0.349462247607796,0.342676953475291,0.335116937623933,0.326764398478105,0.317614253734327,0.307674961203763,0.29696910342639,0.285551484624503,0.273550871622906,0.261108850338074,0.248361443211566,0.235437226545057,0.222455808928521,0.209526670287988,0.196748349701062,0.184207960731985,0.171981005721795,0.160131455219881,0.148712055455864,0.137764825248613,0.127321703805696,0.117405312224751,0.108029793899022,0.0992017021864386,0.0909209073740688,0.083181498930464,0.0759726630903809,0.0692795197958768,0.0630839067952331,0.0573651021801786,0.0521004797567729,0.0472660943577163,0.0428371964987522,0.03878867766324,0.0350954489858077,0.0317327572279904,0.0286764427329646,0.0259031445541084,0.0233904582159236,0.0211170516281389,0.019062743594612,0.0172080753352504,0.0155338529983349,0.0140225204895272,0.0126582297965797,0.0114266748051955,0.0103149412834146,0.00931137146144338,0.00840544178689506,0.00758765257356942,0.00684942838661447,0.00618302811949788,0.00558146381984405,0.00503842741293535,0.00454822455449109
"Cntn2",0.401865034742928,0.410235447552705,0.418745222309937,0.427360108921521,0.436042931806436,0.444753517681225,0.453448658300153,0.462082112731176,0.470604653777051,0.478964163066906,0.487105831550583,0.494989550440562,0.50261652625176,0.509995852422396,0.517138397428215,0.52405672958456,0.530765040786366,0.537279070686666,0.543616032755114,0.549794543592742,0.55583455681056,0.561757302710213,0.567585234937351,0.573341985214942,0.579052327206817,0.584742150513398,0.590438445763802,0.596169301743311,0.601963915484384,0.607852616254717,0.613866904399215,0.620039506035882,0.626404444670513,0.632997130883813,0.639854471359346,0.647014998664219,0.65451902336945,0.662408810307057,0.670728781009873,0.679525744672627,0.688849160314401,0.698751433219483,0.7092882491936,0.72051895070439,0.732506959589329,0.745320251723789,0.759031889861123,0.773720621803238,0.789471552154818,0.806376897181609,0.824536833762244,0.844060454852432,0.865053759040931,0.887583290936514,0.91170955341487,0.937497573208418,0.965016966564471,0.994342007958707,1.02555169994264,1.05872984210576,1.09396509701504,1.13135105085808,1.17098626636148,1.2129743253854,1.25742385840841,1.30444855791681,1.35416717249961,1.40670347822762,1.46218622366408,1.52074904461798,1.58253034451256,1.64767313600476,1.71632483925922,1.78863703205946,1.86476514673283,1.94486810868113,2.02910791115289,2.11764912077163,2.21065830825718,2.30830339875111,2.41075293619256,2.51817525629773,2.63073756288388,2.74860490255934,2.87193903318465,3.00089722931269,3.13565759523788,3.27646960333426,3.42360501282952,3.57734778675913,3.73799463999901,3.90585561190842,4.08125466468848,4.26453030861091,4.45603625532376,4.65614210049491,4.86523403711085,5.08371560080737,5.31200844867051,5.55055317301101
"Gpr37l1",0.933818894936068,0.941129586127664,0.948290567330541,0.955089135101002,0.961306952753545,0.966721109050388,0.971105681162042,0.974233810032872,0.975880284844953,0.975824618687666,0.973854817439316,0.969847569256492,0.963878786226756,0.956062538115427,0.946521280252625,0.935383982007032,0.922784312134385,0.908858907203477,0.893745744984722,0.877582640322648,0.860505876728756,0.842648982831208,0.82414165898956,0.805108855892888,0.785670003855899,0.765938388839645,0.746020668964519,0.726016523452498,0.706018424520076,0.686111521720243,0.666373627570894,0.646875292972605,0.627679960871585,0.608844186823181,0.590417915516669,0.572444802893453,0.554962574190642,0.538003409035517,0.521594345572368,0.505757696494017,0.490511470752407,0.4758697956162,0.461843334612567,0.448439697722895,0.435663840989158,0.423518453423268,0.412004329792823,0.401120728482484,0.390865714202226,0.38123648583507,0.372229690192422,0.36384172271466,0.356061494586148,0.348851785855461,0.342172418459599,0.3359865069338,0.330260125984066,0.324962012639396,0.320063298979719,0.315537271938033,0.311359157111893,0.307505923899645,0.303956109608292,0.300689660469474,0.297687787753402,0.294932837392702,0.292408171723042,0.290098062118983,0.287987591454516,0.286062565451132,0.284309432094094,0.282715208401917,0.281267413926483,0.279954010443262,0.27876334736385,0.277684112467655,0.276705287606858,0.275816109089477,0.275006032490216,0.274264701678118,0.27358192188453,0.272947636664678,0.272351908631664,0.271784903863153,0.271236879898566,0.270698181585237,0.270161564987785,0.269626012148394,0.269091520958331,0.268558089313042,0.268025715112147,0.267494396259428,0.266964130662823,0.266434916234418,0.265906750890438,0.265379632551236,0.26485355914129,0.264328528589193,0.263804538827643,0.263281587793436
"Glul",0.443017672791938,0.443623098989881,0.444275767405536,0.445022376875062,0.445909983156805,0.446986122532406,0.448298985902912,0.449897644773838,0.451832331118737,0.454154773870712,0.456918544244765,0.4601627908759,0.463887890721547,0.46808925693346,0.472763227454645,0.477906962542507,0.483518346235596,0.489595890870536,0.496138643835093,0.503146095815305,0.510618089860613,0.518554730652338,0.526956293418703,0.535823131995113,0.545155585582421,0.554953883809421,0.565218049759584,0.575947800676882,0.587142446122092,0.598800783409893,0.610920990218909,0.623500514332089,0.636535960533931,0.650022974764302,0.66395612570635,0.678328784068273,0.693132999905712,0.708359378423076,0.723996954788078,0.740033068593815,0.756453238706408,0.773241039342829,0.790377978332372,0.807843378625209,0.825614264221402,0.843665251802415,0.86196844945274,0.880493363960199,0.899206818277721,0.918072880814734,0.937052808300563,0.956105004190533,0.975192910095079,0.994307331383549,1.01344602260466,1.03260729771604,1.05179004471772,1.07099373944201,1.0902184585516,1.10946489180368,1.12873435364351,1.14802879419602,1.16735080972935,1.18670365266877,1.20609124124412,1.22551816885834,1.24498971326862,1.26451184567567,1.28409123982068,1.30373528119274,1.32345207645361,1.34325046318966,1.36314002010488,1.38313107777179,1.40323473006101,1.42346284637369,1.44382808480487,1.46434390636956,1.48502459042794,1.50588525144995,1.52694185726493,1.54821124894673,1.56971116249054,1.59146025244391,1.61347811766088,1.63578532131433,1.65839902374578,1.68132534637928,1.70456861099235,1.72813319910835,1.75202355282246,1.77624417563902,1.80079963332048,1.8256945547481,1.85093363279449,1.87652162520828,1.90246335551098,1.92876371390623,1.95542765820169,1.98246021474357
"Tnr",16.1266196644985,15.6454358285451,15.1813719316153,14.7364352446889,14.3123503104492,13.9105917558858,13.5324183628529,13.1789078628236,12.8509920703345,12.5494921140464,12.2751509391067,12.0278075108698,11.8052980580552,11.6053683244366,11.4259681726223,11.2652238654566,11.1214138845188,10.9929477979076,10.87834776973,10.776232371159,10.685302409774,10.6043285419296,10.5321404735426,10.4676175891144,10.4096808779331,10.3572860509865,10.3094177627542,10.2650848691924,10.2233166672646,10.1831600725662,10.1436777001746,10.1039468199872,10.0630591616152,10.020121545491,9.97425731630138,9.92460855227406,9.87033901930803,9.81063783256741,9.74472378008611,9.67185025333539,9.59131071879951,9.5024446526502,9.4046438479209,9.29735899052388,9.18010638744492,9.05247471795909,8.91413166724532,8.76483029187828,8.60441495890203,8.43282669510184,8.25010778123071,8.05640543249022,7.85218510710879,7.63875058582698,7.41756894693736,7.19007117914219,6.95764072684887,6.72160358096863,6.48321992543558,6.24367732026873,6.00408537623079,5.76547185418747,5.52878010420492,5.29486774519338,5.06450647536881,4.83838289674103,4.61710023296308,4.40118081886743,4.19106924151456,3.98713601622111,3.78968168644609,3.59894124323585,3.41508876781522,3.23824220954678,3.06846822057039,2.90578697772554,2.7501769316246,2.60157943179926,2.45990318552911,2.32502851616011,2.19681139433965,2.07508722256985,1.95967435977359,1.85037737816045,1.74699004957238,1.64929801989507,1.55705947917544,1.46997946547242,1.38776948331794,1.31015717162388,1.2368854013518,1.1677114236462,1.10240606560932,1.04075297105292,0.982547883711789,0.927597970544183,0.875721182877311,0.826745653281384,0.780509126174035,0.736858420268726
"Atp1a2",1.95330641104872,1.92396364332384,1.89507958007172,1.86666443868007,1.83872750337401,1.81127716672325,1.78432097123223,1.75786565089745,1.73191717262623,1.70648077742123,1.68156097563104,1.65714709136876,1.63319384780175,1.60965308770521,1.58647908811892,1.56362846448562,1.54106008692953,1.51873500768042,1.4966163987018,1.47466949862644,1.45286156814097,1.43116185299359,1.40954155382578,1.38797380205159,1.36643364102692,1.34489801176705,1.32334574248372,1.30175754122506,1.28011599091182,1.2584055460733,1.23661253059636,1.21472513581141,1.19273341825088,1.17062929642908,1.14840654600773,1.12606079272958,1.10358950252359,1.0809919682096,1.05826929225871,1.03542436509763,1.01246183848193,0.989388093503806,0.966211202845321,0.94294088693804,0.919588463744054,0.896166791932147,0.872690207285442,0.849174452243354,0.825636598550481,0.802094963057838,0.778569016796871,0.755079287671776,0.731653903415679,0.708344608604456,0.685205187994428,0.662285477622517,0.639631362594339,0.617284802984413,0.595283885267964,0.57366289667426,0.552452419856106,0.531679445305492,0.511367499007596,0.491536782910886,0.472204325896063,0.453384143047763,0.435087401166729,0.417322588603539,0.400095687644926,0.383410347837613,0.367268058789946,0.351668321146298,0.336608814581372,0.322085561809471,0.308093087746252,0.294624573096213,0.281672001767406,0.269226301634868,0.257277478285578,0.245814741480104,0.234826624159354,0.224301093908954,0.214225656868984,0.2045874541432,0.195373350819914,0.186570015549803,0.178162854071107,0.170134533554183,0.162467982782465,0.155146899797372,0.148155717234236,0.14147956922026,0.135104259764097,0.12901623256986,0.123202542211355,0.117650826605262,0.112349280724711,0.10728663149737,0.102452113834681,0.0978354477412374
"Tmem63a",0.329804568516135,0.314752044265367,0.300528995130727,0.287220910203869,0.274892892962861,0.263593489729478,0.253358503800366,0.244214731015872,0.236183590983884,0.229284663528947,0.223539060363627,0.218937383795677,0.215395945257264,0.212835273888238,0.21119107478615,0.210412129667821,0.210458576612816,0.21130049666231,0.212916748999504,0.215294007335879,0.218425958641468,0.222312632000544,0.226959830542696,0.232378643399723,0.238585017710554,0.245599373028008,0.253446242223062,0.262153924256592,0.271754135096642,0.282281643688032,0.293773880307396,0.306270504931391,0.319812923476461,0.334443740002255,0.350206133275536,0.367143146537365,0.385296879976651,0.404707576363562,0.425412591614993,0.447445243829965,0.470833536622841,0.495598755469311,0.521753939328279,0.54930223406249,0.578235139182824,0.608530665190209,0.640151425255931,0.673042692095156,0.707130458530152,0.742319548233136,0.778491831245789,0.81550460737022,0.853217338802015,0.891575338741024,0.930545944428607,0.970097242401929,1.01019839146485,1.0508199412775,1.09193414486466,1.13351526357324,1.17553986325491,1.21798710070752,1.26083899967467,1.30408071597391,1.3477007915967,1.39169139789594,1.43604856824613,1.48077242082589,1.52586737243146,1.5713423444806,1.61721096261052,1.6634917515089,1.7102083268459,1.75738958639683,1.80506990266214,1.85328931950449,1.90209375553507,1.95153521719442,2.00167202469106,2.052569054187,2.10429799985656,2.15693765969894,2.21057424925965,2.26530174771726,2.32122228112578,2.3784465075835,2.43707176390295,2.49714204775089,2.5586929769598,2.62176104729006,2.68638365406959,2.75259911436691,2.82044668971069,2.88996660936935,2.96120009420439,3.03418938111179,3.1089777480657,3.18560953977961,3.26413019399982,3.34458626844721
"Ptgds",0.124929101481725,0.128970738527739,0.133116630178776,0.137341111922045,0.141615071877672,0.145905823749682,0.150177049067174,0.154388821974309,0.158497729826205,0.162457102246686,0.166217400164943,0.169739928457612,0.173018061771487,0.17605210276245,0.178844580918163,0.181400131221803,0.183725356824209,0.185828679795598,0.187720183925512,0.18941145336041,0.190915410627277,0.192246157303868,0.19341882027659,0.194449406189383,0.195354666344259,0.196151973977805,0.196859215518107,0.19749469713164,0.198077067606885,0.198625258396268,0.199158441455131,0.199696005378957,0.200257550250732,0.200862901570906,0.201532143654583,0.20228567294583,0.203144271819006,0.204129203614138,0.205262329890462,0.20656625118369,0.208064472923856,0.209781598619443,0.211743552949793,0.213977838044364,0.216513826980705,0.219383099423611,0.222619825381918,0.226261204309087,0.230347968259513,0.234924959584421,0.240041795771484,0.245753636425149,0.252114815124557,0.259158929653047,0.266917425476128,0.275425507768935,0.284722255169109,0.294850751057933,0.305858230744467,0.317796242899433,0.330720823506388,0.344692680467894,0.359777386824359,0.376045580312507,0.393573166708715,0.41244152406904,0.432737704592081,0.454554630392604,0.477991278983102,0.503152853717932,0.530150933861763,0.559103598303466,0.590135516252067,0.623377997528501,0.658968994312927,0.697053045431854,0.737781153484275,0.781310584326092,0.827804577675311,0.877431956887879,0.930366625310335,0.986786936069314,1.04687492174158,1.11081537009794,1.17879473207014,1.25099988282709,1.3276364293624,1.40896774873141,1.49528144382017,1.58688273613504,1.68409554512354,1.78726363361457,1.89675182342865,2.0129472854567,2.13626090876929,2.26712875359793,2.40601359332631,2.55340655094422,2.70982883575114,2.87583358645061
"Notch1",3.10398128713015,3.13980851513827,3.17518523473982,3.20921371459811,3.24096034513919,3.26946079852375,3.29372795630936,3.31276269346716,3.32556753272651,3.33116308601466,3.32860810217618,3.31734884732684,3.29769981058884,3.27015237021303,3.23524479993376,3.1935520023648,3.14567548886933,3.09223378924499,3.03385344447938,2.9711607049256,2.90477402563482,2.83529742120902,2.76331471517092,2.68938469407523,2.6140371548135,2.53776981503518,2.46104604141466,2.38429333860089,2.30790253295371,2.23222757937468,2.15758591639672,2.08425929388313,2.01249499885859,1.94250740780423,1.87447979785619,1.80856635443123,1.74489431857041,1.68356622348148,1.62466217614507,1.56824214624006,1.51434823088537,1.46300686966877,1.41423099005179,1.36802206844402,1.32437209699748,1.28326545047246,1.24468065137725,1.20859203501182,1.1749713190844,1.14378908527046,1.11501618250025,1.08862506330785,1.06456162085611,1.04267241041525,1.0227953057053,1.00478352057643,0.988503886143215,0.973835326340088,0.960667505963064,0.948899628863871,0.938439367038974,0.929201903989577,0.921109077988481,0.914088612833212,0.908073425340638,0.903001000287073,0.898812824753912,0.895453874931209,0.89287214938454,0.891018243624824,0.889844961553723,0.889306960003653,0.889360423163624,0.889962764190483,0.891072351758445,0.892648259705284,0.894650038297156,0.897037505960737,0.899770560625047,0.902809010079034,0.906112420987142,0.909639986415269,0.913350411904858,0.917201820293938,0.921151675620818,0.925156746668063,0.929183963720743,0.933228711291628,0.937291065691247,0.941371103562312,0.945468901881159,0.949584537959205,0.953718089444403,0.957869634322709,0.962039250919553,0.966227017901315,0.970433014276812,0.974657319398787,0.978900012965406,0.983161175021761
