cell,nCounts,nFeatures
"R1.02,R2.85,R3.04,P1.50",6704,3515
"R1.02,R2.90,R3.07,P1.50",2840,1821
"R1.02,R2.91,R3.85,P1.50",2818,1883
"R1.02,R2.91,R3.92,P1.51",1395,1141
"R1.03,R2.01,R3.67,P1.51",2732,1937
"R1.03,R2.02,R3.49,P1.50",2269,1492
"R1.03,R2.04,R3.10,P1.51",2044,1519
"R1.03,R2.04,R3.34,P1.50",10565,4471
"R1.03,R2.05,R3.03,P1.50",5847,3002
"R1.03,R2.06,R3.59,P1.51",1190,991
"R1.03,R2.07,R3.01,P1.50",2556,1757
"R1.03,R2.07,R3.55,P1.50",3655,2264
"R1.03,R2.10,R3.84,P1.51",3231,2134
"R1.03,R2.11,R3.92,P1.50",1680,1308
"R1.03,R2.12,R3.60,P1.50",3452,2222
"R1.03,R2.12,R3.67,P1.51",861,755
"R1.03,R2.12,R3.81,P1.51",736,657
"R1.03,R2.12,R3.89,P1.50",1809,1329
"R1.03,R2.13,R3.23,P1.51",1474,1144
"R1.03,R2.14,R3.75,P1.50",1307,1043
"R1.03,R2.22,R3.16,P1.50",4539,2779
"R1.03,R2.22,R3.48,P1.50",5636,3111
"R1.03,R2.23,R3.49,P1.50",9332,4187
"R1.03,R2.24,R3.03,P1.50",2656,1773
"R1.03,R2.24,R3.68,P1.50",2358,1607
"R1.03,R2.32,R3.22,P1.51",525,477
"R1.03,R2.33,R3.46,P1.50",2396,1603
"R1.03,R2.34,R3.46,P1.51",457,428
"R1.03,R2.35,R3.03,P1.51",3165,2158
"R1.03,R2.37,R3.81,P1.50",2700,1688
"R1.03,R2.37,R3.85,P1.50",3598,2139
"R1.03,R2.41,R3.38,P1.51",4378,2670
"R1.03,R2.41,R3.57,P1.50",3623,2225
"R1.03,R2.46,R3.34,P1.50",3246,1880
"R1.03,R2.48,R3.50,P1.50",932,800
"R1.03,R2.52,R3.39,P1.50",7728,3548
"R1.03,R2.52,R3.79,P1.50",2436,1548
"R1.03,R2.55,R3.41,P1.50",2969,1814
"R1.03,R2.55,R3.71,P1.51",592,527
"R1.03,R2.59,R3.19,P1.50",3961,2504
"R1.03,R2.60,R3.04,P1.50",2238,1625
"R1.03,R2.61,R3.27,P1.50",6239,3196
"R1.03,R2.62,R3.13,P1.51",1336,1088
"R1.03,R2.62,R3.70,P1.51",535,482
"R1.03,R2.63,R3.22,P1.50",14667,5287
"R1.03,R2.63,R3.22,P1.51",586,531
"R1.03,R2.66,R3.22,P1.50",2767,1731
"R1.03,R2.66,R3.24,P1.50",1567,1210
"R1.03,R2.67,R3.95,P1.50",5126,2877
"R1.03,R2.69,R3.01,P1.50",4128,2456
"R1.03,R2.70,R3.05,P1.51",3183,2126
"R1.03,R2.70,R3.50,P1.50",2823,1795
"R1.03,R2.71,R3.16,P1.50",3273,2099
"R1.03,R2.74,R3.39,P1.50",6515,3412
"R1.03,R2.75,R3.26,P1.51",501,455
"R1.03,R2.77,R3.55,P1.51",569,508
"R1.03,R2.96,R3.19,P1.50",9215,4264
"R1.04,R2.01,R3.07,P1.50",3428,2246
"R1.04,R2.01,R3.58,P1.50",3657,2325
"R1.04,R2.02,R3.56,P1.50",5031,2899
"R1.04,R2.03,R3.01,P1.50",4088,2530
"R1.04,R2.04,R3.13,P1.51",2591,1786
"R1.04,R2.06,R3.15,P1.50",1063,892
"R1.04,R2.06,R3.18,P1.50",5751,3255
"R1.04,R2.09,R3.50,P1.50",9357,4193
"R1.04,R2.10,R3.53,P1.50",2687,1834
"R1.04,R2.12,R3.44,P1.51",2279,1677
"R1.04,R2.15,R3.35,P1.50",1519,1128
"R1.04,R2.17,R3.14,P1.51",857,728
"R1.04,R2.17,R3.41,P1.51",522,475
"R1.04,R2.18,R3.08,P1.51",987,858
"R1.04,R2.20,R3.28,P1.50",1323,1058
"R1.04,R2.21,R3.57,P1.51",3505,2292
"R1.04,R2.22,R3.54,P1.50",3046,1961
"R1.04,R2.26,R3.43,P1.50",30846,7252
"R1.04,R2.26,R3.81,P1.50",2680,1842
"R1.04,R2.35,R3.01,P1.51",809,698
"R1.04,R2.36,R3.92,P1.50",9530,4352
"R1.04,R2.37,R3.22,P1.50",19556,6022
"R1.04,R2.37,R3.95,P1.50",2335,1698
"R1.04,R2.38,R3.07,P1.51",1109,934
"R1.04,R2.40,R3.92,P1.51",2626,1888
"R1.04,R2.42,R3.45,P1.51",642,557
"R1.04,R2.42,R3.72,P1.50",5032,2872
"R1.04,R2.43,R3.69,P1.50",2806,1939
"R1.04,R2.44,R3.48,P1.50",2535,1781
"R1.04,R2.45,R3.14,P1.50",1736,1352
"R1.04,R2.47,R3.36,P1.50",5067,2968
"R1.04,R2.49,R3.17,P1.51",3018,2044
"R1.04,R2.51,R3.25,P1.50",4452,2573
"R1.04,R2.52,R3.47,P1.50",10441,4472
"R1.04,R2.52,R3.54,P1.50",2319,1674
"R1.04,R2.52,R3.58,P1.50",3612,2273
"R1.04,R2.52,R3.71,P1.50",2245,1592
"R1.04,R2.52,R3.74,P1.50",3200,2130
"R1.04,R2.54,R3.13,P1.51",1228,1023
"R1.04,R2.57,R3.47,P1.50",2374,1706
"R1.04,R2.61,R3.41,P1.51",1039,863
"R1.04,R2.62,R3.51,P1.51",4323,2746
"R1.04,R2.63,R3.53,P1.50",1290,1052
"R1.04,R2.64,R3.94,P1.50",1944,1456
"R1.04,R2.66,R3.08,P1.51",1511,1213
"R1.04,R2.66,R3.27,P1.50",2751,1790
"R1.04,R2.66,R3.35,P1.51",702,599
"R1.04,R2.66,R3.75,P1.51",722,638
"R1.04,R2.66,R3.81,P1.50",1311,1052
"R1.04,R2.68,R3.13,P1.51",6910,3739
"R1.04,R2.74,R3.26,P1.51",3443,2295
"R1.04,R2.74,R3.33,P1.50",2516,1717
"R1.04,R2.75,R3.83,P1.51",3300,2218
"R1.04,R2.77,R3.83,P1.50",3662,2340
"R1.04,R2.83,R3.41,P1.50",4344,2680
"R1.04,R2.87,R3.13,P1.50",4030,2519
"R1.04,R2.87,R3.39,P1.51",2978,2070
"R1.05,R2.03,R3.50,P1.50",2245,1581
"R1.05,R2.04,R3.37,P1.50",2248,1570
"R1.05,R2.04,R3.57,P1.50",1805,1281
"R1.05,R2.04,R3.73,P1.51",3229,2160
"R1.05,R2.08,R3.22,P1.51",6784,3478
"R1.05,R2.08,R3.32,P1.51",6305,3399
"R1.05,R2.10,R3.73,P1.50",879,751
"R1.05,R2.12,R3.30,P1.50",10592,4357
"R1.05,R2.14,R3.21,P1.50",5972,3100
"R1.05,R2.14,R3.54,P1.50",2352,1715
"R1.05,R2.14,R3.63,P1.50",7634,3796
"R1.05,R2.17,R3.22,P1.51",4495,2751
"R1.05,R2.17,R3.33,P1.50",2665,1787
"R1.05,R2.17,R3.71,P1.50",9151,4300
"R1.05,R2.19,R3.92,P1.51",635,554
"R1.05,R2.20,R3.40,P1.51",6455,3435
"R1.05,R2.21,R3.26,P1.50",3973,2252
"R1.05,R2.24,R3.17,P1.50",436,408
"R1.05,R2.25,R3.48,P1.50",2640,1717
"R1.05,R2.25,R3.80,P1.51",360,325
"R1.05,R2.26,R3.42,P1.50",1809,1384
"R1.05,R2.26,R3.53,P1.50",3117,1932
"R1.05,R2.26,R3.56,P1.51",338,310
"R1.05,R2.34,R3.28,P1.50",5563,3128
"R1.05,R2.34,R3.52,P1.51",2370,1699
"R1.05,R2.37,R3.64,P1.50",5372,2794
"R1.05,R2.42,R3.63,P1.50",8577,3991
"R1.05,R2.43,R3.81,P1.50",4967,2956
"R1.05,R2.44,R3.19,P1.50",2462,1738
"R1.05,R2.44,R3.20,P1.50",3075,2008
"R1.05,R2.46,R3.79,P1.51",1113,906
"R1.05,R2.47,R3.25,P1.50",2725,1701
"R1.05,R2.47,R3.61,P1.50",6947,3457
"R1.05,R2.50,R3.02,P1.50",22270,6474
"R1.05,R2.50,R3.41,P1.51",994,855
"R1.05,R2.53,R3.41,P1.50",9156,4325
"R1.05,R2.53,R3.54,P1.50",2238,1546
"R1.05,R2.53,R3.61,P1.50",3110,1928
"R1.05,R2.57,R3.46,P1.50",1598,1288
"R1.05,R2.62,R3.18,P1.50",2231,1659
"R1.05,R2.63,R3.45,P1.50",2390,1632
"R1.05,R2.65,R3.65,P1.50",3979,2446
"R1.05,R2.66,R3.27,P1.50",2164,1398
"R1.05,R2.69,R3.55,P1.50",2866,1931
"R1.05,R2.69,R3.68,P1.51",2334,1685
"R1.05,R2.70,R3.68,P1.51",612,524
"R1.05,R2.71,R3.46,P1.50",2505,1733
"R1.05,R2.73,R3.01,P1.50",6225,3111
"R1.05,R2.78,R3.17,P1.50",14374,5089
"R1.05,R2.78,R3.22,P1.50",2777,1917
"R1.05,R2.78,R3.56,P1.50",3864,2411
"R1.05,R2.79,R3.61,P1.50",5779,3102
"R1.05,R2.81,R3.09,P1.51",1025,863
"R1.05,R2.84,R3.86,P1.50",11043,4584
"R1.05,R2.84,R3.91,P1.50",6335,3403
"R1.05,R2.88,R3.62,P1.50",11228,4712
