cell,nCounts,nFeatures
522,290,233
523,307,242
524,176,144
525,324,272
526,445,345
527,1119,759
528,194,169
529,257,225
530,516,394
531,367,301
532,181,152
533,344,290
534,714,552
535,185,162
536,1229,755
537,856,572
538,302,249
539,275,234
540,540,434
541,358,275
542,461,372
543,396,315
544,229,198
545,801,551
546,780,596
547,546,440
548,604,475
549,524,393
550,1214,775
551,441,355
552,778,604
553,423,342
554,202,183
555,207,169
556,331,255
557,1168,658
558,363,276
559,336,271
560,735,554
561,436,349
562,389,309
563,326,244
564,485,355
565,940,662
566,267,217
567,850,605
568,642,515
569,858,653
570,268,222
571,672,502
572,504,386
573,609,492
574,415,342
575,1106,785
576,330,267
577,617,412
578,521,397
579,650,495
580,490,370
581,292,263
582,177,148
583,251,200
584,702,521
585,332,267
586,811,616
587,582,446
588,258,224
589,385,309
590,823,579
591,218,168
592,849,625
593,861,617
594,1388,864
595,373,287
596,269,239
597,287,243
598,317,252
599,411,314
600,500,358
601,540,424
602,207,182
603,337,233
604,367,296
605,554,452
606,294,249
607,573,449
608,188,152
609,719,545
610,998,777
611,199,176
612,214,182
613,698,518
614,438,359
615,762,611
616,1021,702
617,521,429
618,716,475
619,202,176
620,533,400
621,354,284
622,365,301
623,308,243
624,949,617
625,338,227
626,1044,730
627,184,170
628,1312,847
629,765,521
630,274,242
631,588,436
632,1184,805
633,754,542
634,443,352
635,333,251
636,856,651
637,337,298
638,236,193
639,633,437
640,1464,996
641,461,340
642,302,255
643,208,182
644,211,181
645,493,368
646,347,291
647,296,237
648,537,436
649,1396,865
650,284,249
651,354,262
652,914,573
653,756,560
654,349,263
655,327,216
656,1737,1037
657,223,192
658,182,170
659,301,224
660,360,292
661,481,383
662,199,162
663,353,276
664,369,300
665,184,159
666,210,169
667,177,143
668,498,425
669,1027,713
670,275,244
671,440,344
672,209,163
673,555,390
674,317,255
675,339,277
676,183,154
677,296,254
678,433,326
679,320,252
680,324,277
681,285,201
682,1175,752
683,450,366
684,244,216
685,997,725
686,474,387
687,550,398
688,231,204
689,329,289
690,662,497
691,1792,1130
692,1773,1009
693,324,275
694,249,206
695,531,384
696,183,163
697,547,460
698,290,251
699,715,527
700,550,421
701,782,507
702,229,196
703,400,310
704,640,512
705,446,373
706,366,276
707,283,233
708,608,451
709,433,336
710,754,547
711,497,394
712,540,422
713,190,156
714,277,229
715,270,224
716,177,147
717,457,386
718,435,357
719,347,267
720,425,344
721,570,377
722,202,160
723,1332,930
724,412,337
725,808,609
726,643,497
727,413,342
728,237,208
729,811,622
730,487,392
731,1142,845
732,283,220
733,1911,1141
734,299,226
735,517,392
736,351,266
737,748,566
738,413,326
739,423,304
740,561,422
741,185,172
742,1321,824
743,914,679
744,767,522
745,237,193
746,504,371
747,3207,1446
748,242,217
749,654,475
750,503,382
751,320,276
752,321,259
753,461,347
754,2469,1391
755,269,240
756,277,240
757,472,346
758,2083,1261
759,260,200
760,359,311
761,216,165
762,388,313
763,607,449
764,555,427
765,605,399
766,975,686
767,192,163
768,624,488
769,390,323
770,313,224
771,351,292
772,644,466
773,790,578
774,616,443
775,317,274
776,717,489
777,707,527
778,347,269
779,696,505
780,313,270
781,583,436
782,557,419
783,872,666
784,541,424
785,224,174
786,774,518
787,285,235
788,1511,948
789,382,310
790,494,388
791,288,229
792,506,400
793,975,666
794,504,389
795,229,204
796,755,534
797,391,301
798,541,395
799,390,319
800,250,212
801,294,252
802,569,451
803,1134,730
804,240,189
805,990,613
806,189,163
807,234,189
808,809,587
809,534,417
810,299,240
811,599,451
812,279,203
813,320,243
814,922,650
815,309,228
816,488,369
817,380,297
818,252,210
819,934,687
820,236,178
821,505,399
822,269,217
823,321,270
824,263,233
825,560,443
826,185,173
827,238,209
828,2425,1252
829,427,334
830,2136,1253
831,437,346
832,635,471
833,268,238
834,1250,728
835,508,379
836,206,167
837,1066,707
838,371,288
839,310,264
840,459,374
841,859,660
842,184,171
843,275,240
844,606,422
845,1198,819
846,449,363
847,725,538
848,716,528
849,374,285
850,336,266
851,369,322
852,934,615
853,426,329
854,259,221
855,315,274
856,194,133
857,212,184
858,191,163
859,199,175
860,2485,1297
861,937,610
862,1339,899
863,1140,774
864,1071,696
865,375,310
866,362,286
867,486,362
868,182,143
869,793,603
870,329,237
871,190,169
872,256,182
873,205,182
874,618,471
875,569,432
876,215,170
877,2148,1391
878,224,191
879,264,219
880,341,274
881,464,349
882,627,473
883,631,460
884,196,176
885,178,160
886,192,154
887,238,180
888,780,604
889,426,321
890,507,388
891,234,175
892,304,262
893,176,148
894,351,291
895,307,250
896,272,244
897,308,258
898,527,411
899,190,160
900,320,265
901,246,202
902,261,228
903,350,280
904,603,445
905,511,406
906,741,562
907,634,458
908,403,289
909,346,288
910,295,235
911,681,508
912,800,548
913,267,216
914,506,423
915,788,591
916,385,291
917,810,550
918,427,350
919,388,327
920,323,254
921,1240,801
922,413,319
923,305,261
924,410,309
925,333,257
926,1212,858
927,565,434
928,496,368
929,378,291
930,272,231
931,334,278
932,623,452
933,1597,961
934,765,509
935,1078,708
936,215,186
937,756,579
938,2137,1118
939,265,212
940,763,572
941,178,153
942,1200,765
943,518,395
944,280,253
945,178,144
946,440,321
947,529,431
948,1702,1194
949,491,383
950,925,666
951,279,195
952,189,169
953,369,278
954,401,347
955,1329,899
956,544,422
957,1518,1013
958,412,310
959,1445,808
960,608,432
961,263,220
962,2050,1229
963,278,210
964,288,234
965,557,437
966,367,318
967,287,232
968,201,184
969,830,524
970,187,167
971,717,522
972,273,243
973,1141,829
974,463,367
975,344,279
976,291,222
977,408,343
978,805,538
979,437,334
980,607,438
981,1234,766
982,409,296
983,402,310
984,643,447
985,193,162
986,699,494
987,263,217
988,574,452
989,398,311
990,610,382
991,417,332
992,288,250
993,438,317
994,952,687
995,576,448
996,235,187
997,722,516
998,633,483
999,535,377
1000,1991,1192
1001,585,477
1002,200,149
1003,198,177
1004,966,683
1005,670,524
1006,1378,894
1007,850,638
1008,323,261
1009,187,163
1010,341,272
1011,208,191
1012,321,271
1013,295,230
1014,419,302
1015,720,524
1016,218,183
1017,528,386
1018,238,165
1019,326,261
1020,560,404
1021,392,298
1022,915,611
1023,1031,767
1024,469,400
1025,311,259
1026,396,310
1027,1110,749
1028,840,633
1029,502,404
1030,191,164
1031,333,280
1032,461,377
1033,256,222
1034,476,359
1035,285,215
1036,604,425
1037,208,172
1038,956,676
1039,317,261
1040,461,346
1041,201,175
1042,226,185
1043,831,596
1044,392,320
1045,1019,665
1046,255,211
1047,327,257
1048,870,634
1049,812,543
1050,359,283
1051,294,248
1052,354,285
1053,292,234
1054,400,317
1055,333,265
1056,328,278
1057,569,447
1058,482,358
1059,315,274
1060,714,528
1061,696,481
1062,455,317
1063,330,256
1064,422,331
1065,631,467
1066,353,232
1067,198,172
1068,270,230
1069,755,575
1070,414,300
1071,433,342
1072,223,182
1073,226,198
1074,308,246
1075,330,267
1076,190,158
1077,260,221
1078,1053,734
1079,893,610
1080,407,331
1081,775,515
1082,715,482
1083,178,155
1084,329,273
1085,361,304
1086,283,231
1087,191,174
1088,214,186
1089,259,203
1090,805,582
1091,228,190
1092,378,285
1093,181,162
1094,311,254
1095,306,259
1096,386,294
1097,446,342
1098,469,329
1099,712,534
1100,722,531
1101,435,350
1102,239,185
1103,911,600
1104,201,168
1105,220,185
1106,548,430
1107,324,270
1108,244,192
1109,342,280
1110,227,192
1111,456,357
1112,284,210
1113,412,340
1114,313,275
1115,1448,947
1116,563,408
1117,243,203
1118,954,668
1119,377,303
1120,587,451
1121,1271,848
1122,260,227
1123,626,479
1124,455,320
1125,182,158
1126,278,225
1127,585,395
1128,1623,1119
1129,997,661
1130,255,209
1131,404,312
1132,302,265
1133,1128,654
1134,502,354
1135,204,175
1136,239,206
1137,415,331
1138,800,543
1139,433,350
1140,218,185
1141,336,276
1142,566,458
1143,335,258
1144,310,266
1145,768,540
1146,242,200
1147,793,575
1148,226,178
1149,868,605
1150,628,472
1151,627,475
1152,707,549
1153,607,464
1154,805,559
1155,245,211
1156,530,400
1157,199,145
1158,765,566
1159,574,443
1160,457,325
1161,274,240
1162,321,268
1163,288,242
1164,434,347
1165,588,437
1166,922,631
1167,193,152
1168,276,197
1169,690,476
1170,1464,901
1171,383,295
1172,292,246
1173,211,178
1174,1412,1006
1175,392,317
1176,283,235
1177,521,362
1178,680,523
1179,245,199
1180,322,263
1181,1036,733
1182,261,211
1183,483,398
1184,415,335
1185,582,406
1186,539,441
1187,811,616
1188,346,277
1189,176,155
1190,414,337
1191,271,230
1192,467,385
1193,240,173
1194,312,259
1195,632,499
1196,402,317
1197,437,361
1198,661,414
1199,1226,790
1200,340,293
1201,1453,959
1202,731,542
1203,299,236
1204,233,177
1205,293,247
1206,224,180
1207,187,171
1208,977,688
1209,519,395
1210,932,590
1211,804,558
1212,424,324
1213,359,296
1214,1333,893
1215,549,406
1216,564,467
1217,993,725
1218,188,170
1219,532,419
1220,940,648
1221,317,258
1222,391,327
1223,186,155
1224,1132,730
1225,394,294
1226,289,246
1227,971,703
1228,728,563
1229,309,210
