cell,nCounts,nFeatures
"R1.65,R2.37,R3.53,P1.40",264,233
"R1.65,R2.37,R3.54,P1.42",832,671
"R1.65,R2.37,R3.62,P1.43",203,103
"R1.65,R2.37,R3.90,P1.42",307,281
"R1.65,R2.38,R3.62,P1.42",199,174
"R1.65,R2.38,R3.69,P1.43",184,163
"R1.65,R2.38,R3.83,P1.44",371,314
"R1.65,R2.39,R3.14,P1.41",172,157
"R1.65,R2.39,R3.55,P1.39",309,249
"R1.65,R2.39,R3.81,P1.41",254,224
"R1.65,R2.39,R3.81,P1.42",334,279
"R1.65,R2.39,R3.87,P1.42",172,149
"R1.65,R2.40,R3.02,P1.41",645,541
"R1.65,R2.40,R3.29,P1.43",134,69
"R1.65,R2.40,R3.51,P1.43",192,176
"R1.65,R2.41,R3.02,P1.44",395,337
"R1.65,R2.41,R3.17,P1.41",363,301
"R1.65,R2.41,R3.20,P1.41",371,326
"R1.65,R2.41,R3.64,P1.41",163,147
"R1.65,R2.42,R3.32,P1.43",404,336
"R1.65,R2.42,R3.57,P1.43",189,101
"R1.65,R2.42,R3.61,P1.43",288,255
"R1.65,R2.43,R3.14,P1.45",212,107
"R1.65,R2.43,R3.70,P1.42",217,195
"R1.65,R2.43,R3.75,P1.45",222,108
"R1.65,R2.43,R3.90,P1.45",181,158
"R1.65,R2.44,R3.32,P1.39",194,167
"R1.65,R2.44,R3.65,P1.42",299,253
"R1.65,R2.44,R3.82,P1.43",361,289
"R1.65,R2.45,R3.74,P1.40",262,215
"R1.65,R2.46,R3.05,P1.42",358,293
"R1.65,R2.46,R3.25,P1.41",164,152
"R1.65,R2.46,R3.45,P1.42",382,307
"R1.65,R2.46,R3.46,P1.45",138,112
"R1.65,R2.46,R3.65,P1.44",189,178
"R1.65,R2.46,R3.84,P1.41",238,140
"R1.65,R2.46,R3.84,P1.42",143,99
"R1.65,R2.47,R3.01,P1.45",238,199
"R1.65,R2.47,R3.28,P1.41",146,129
"R1.65,R2.48,R3.34,P1.42",645,539
"R1.65,R2.48,R3.60,P1.44",753,603
"R1.65,R2.48,R3.70,P1.44",123,110
"R1.65,R2.48,R3.83,P1.44",161,106
"R1.65,R2.49,R3.31,P1.45",161,71
"R1.65,R2.49,R3.52,P1.41",468,384
"R1.65,R2.49,R3.53,P1.44",306,269
"R1.65,R2.50,R3.13,P1.45",456,368
"R1.65,R2.50,R3.41,P1.41",371,322
"R1.65,R2.50,R3.41,P1.44",146,132
"R1.65,R2.50,R3.43,P1.44",241,206
"R1.65,R2.50,R3.47,P1.39",136,120
"R1.65,R2.50,R3.65,P1.43",239,207
"R1.65,R2.50,R3.80,P1.45",390,328
"R1.65,R2.51,R3.23,P1.42",321,274
