cell,nCounts,nFeatures
"R1.79,R2.47,R3.90,P1.33",182,179
"R1.79,R2.77,R3.96,P1.36",358,351
"R1.80,R2.71,R3.46,P1.37",161,159
"R1.81,R2.10,R3.91,P1.36",860,837
"R1.77,R2.18,R3.45,P1.33",296,293
"R1.80,R2.01,R3.05,P1.37",484,474
"R1.93,R2.66,R3.70,P1.36",294,290
"R1.68,R2.88,R3.42,P1.33",832,809
"R1.88,R2.51,R3.43,P1.33",145,145
"R1.93,R2.15,R3.03,P1.33",545,530
"R1.94,R2.46,R3.09,P1.33",193,190
"R1.76,R2.29,R3.93,P1.35",176,176
"R1.94,R2.39,R3.27,P1.31",385,379
"R1.91,R2.65,R3.34,P1.35",555,540
"R1.88,R2.63,R3.65,P1.31",241,237
"R1.67,R2.70,R3.72,P1.37",191,191
"R1.65,R2.42,R3.32,P1.35",623,606
"R1.70,R2.21,R3.21,P1.37",251,247
"R1.80,R2.61,R3.50,P1.36",258,256
"R1.81,R2.34,R3.11,P1.33",590,580
"R1.77,R2.18,R3.66,P1.36",166,165
"R1.75,R2.10,R3.13,P1.37",490,485
"R1.87,R2.05,R3.33,P1.33",247,244
"R1.65,R2.68,R3.82,P1.34",223,223
"R1.86,R2.86,R3.93,P1.33",245,245
"R1.85,R2.27,R3.48,P1.36",848,824
"R1.65,R2.59,R3.14,P1.36",687,663
"R1.85,R2.20,R3.16,P1.35",269,267
"R1.76,R2.27,R3.43,P1.37",265,263
"R1.73,R2.06,R3.30,P1.34",200,199
"R1.85,R2.23,R3.71,P1.37",223,218
"R1.71,R2.09,R3.02,P1.35",291,290
"R1.73,R2.87,R3.45,P1.36",380,376
"R1.83,R2.70,R3.50,P1.33",882,853
"R1.72,R2.09,R3.27,P1.34",1108,1070
"R1.84,R2.87,R3.09,P1.33",175,173
"R1.65,R2.48,R3.34,P1.34",637,628
"R1.88,R2.43,R3.15,P1.35",159,156
"R1.92,R2.08,R3.53,P1.36",560,544
"R1.90,R2.54,R3.21,P1.34",391,389
"R1.86,R2.50,R3.20,P1.36",304,301
"R1.71,R2.17,R3.71,P1.33",598,581
"R1.69,R2.75,R3.50,P1.36",720,696
"R1.86,R2.31,R3.37,P1.33",207,206
"R1.74,R2.27,R3.32,P1.37",883,864
"R1.86,R2.15,R3.69,P1.34",390,383
"R1.91,R2.04,R3.18,P1.34",446,442
"R1.93,R2.04,R3.39,P1.33",245,245
"R1.78,R2.01,R3.24,P1.35",347,339
"R1.74,R2.79,R3.73,P1.37",365,363
"R1.83,R2.24,R3.19,P1.34",182,180
"R1.77,R2.62,R3.96,P1.36",523,515
"R1.88,R2.83,R3.38,P1.31",212,210
"R1.69,R2.33,R3.21,P1.37",232,231
"R1.77,R2.82,R3.68,P1.31",161,159
"R1.82,R2.20,R3.75,P1.33",321,317
"R1.86,R2.82,R3.05,P1.33",351,348
"R1.81,R2.16,R3.71,P1.37",316,313
"R1.74,R2.21,R3.42,P1.31",234,231
"R1.70,R2.12,R3.37,P1.33",258,256
"R1.82,R2.66,R3.75,P1.36",944,916
"R1.80,R2.17,R3.52,P1.35",356,353
"R1.71,R2.87,R3.34,P1.37",266,266
"R1.69,R2.59,R3.53,P1.37",696,681
"R1.73,R2.52,R3.39,P1.35",444,437
"R1.93,R2.24,R3.04,P1.33",391,385
"R1.67,R2.37,R3.77,P1.34",361,359
"R1.73,R2.53,R3.20,P1.36",1722,1623
"R1.83,R2.53,R3.57,P1.31",363,357
"R1.96,R2.36,R3.56,P1.35",315,307
"R1.77,R2.37,R3.74,P1.33",893,871
"R1.74,R2.59,R3.42,P1.35",369,362
"R1.92,R2.05,R3.83,P1.35",548,538
"R1.80,R2.07,R3.15,P1.35",498,491
"R1.77,R2.62,R3.54,P1.33",601,584
"R1.86,R2.78,R3.09,P1.33",254,250
"R1.88,R2.67,R3.37,P1.35",475,465
"R1.89,R2.70,R3.71,P1.34",336,332
"R1.87,R2.22,R3.33,P1.37",270,265
"R1.93,R2.62,R3.71,P1.33",644,626
"R1.75,R2.04,R3.37,P1.36",304,301
"R1.67,R2.16,R3.47,P1.34",248,247
"R1.73,R2.59,R3.10,P1.34",278,277
"R1.94,R2.20,R3.61,P1.36",667,657
"R1.84,R2.53,R3.91,P1.36",648,638
"R1.84,R2.30,R3.15,P1.36",534,517
"R1.79,R2.42,R3.39,P1.34",492,479
"R1.89,R2.04,R3.10,P1.36",571,554
"R1.70,R2.07,R3.39,P1.34",260,260
"R1.69,R2.09,R3.03,P1.35",550,541
"R1.73,R2.95,R3.07,P1.31",275,273
"R1.90,R2.08,R3.36,P1.36",203,200
"R1.78,R2.56,R3.26,P1.36",536,534
"R1.78,R2.55,R3.50,P1.33",356,349
"R1.74,R2.90,R3.53,P1.36",690,670
"R1.96,R2.21,R3.29,P1.35",329,327
"R1.93,R2.38,R3.83,P1.34",278,273
"R1.65,R2.80,R3.83,P1.34",321,318
"R1.65,R2.39,R3.87,P1.34",327,324
"R1.93,R2.21,R3.21,P1.33",479,473
"R1.73,R2.09,R3.23,P1.36",666,645
"R1.79,R2.29,R3.04,P1.35",2697,2485
"R1.74,R2.03,R3.39,P1.35",1465,1400
"R1.85,R2.36,R3.23,P1.34",314,312
"R1.88,R2.64,R3.03,P1.35",796,776
"R1.96,R2.43,R3.85,P1.36",306,304
"R1.69,R2.18,R3.26,P1.34",380,371
"R1.85,R2.74,R3.89,P1.33",184,183
"R1.95,R2.11,R3.64,P1.35",211,211
"R1.89,R2.61,R3.89,P1.34",414,410
"R1.96,R2.86,R3.38,P1.35",262,261
"R1.96,R2.77,R3.46,P1.35",780,763
"R1.75,R2.42,R3.23,P1.33",161,160
"R1.65,R2.55,R3.72,P1.37",150,150
"R1.69,R2.18,R3.59,P1.34",160,160
"R1.73,R2.40,R3.01,P1.35",264,259
"R1.68,R2.21,R3.19,P1.36",1850,1742
"R1.88,R2.52,R3.08,P1.35",642,630
"R1.92,R2.05,R3.60,P1.35",309,305
"R1.81,R2.26,R3.31,P1.35",167,166
"R1.86,R2.80,R3.26,P1.31",165,165
"R1.81,R2.10,R3.87,P1.37",691,679
"R1.91,R2.02,R3.79,P1.34",277,275
"R1.66,R2.62,R3.13,P1.34",346,341
"R1.83,R2.24,R3.02,P1.31",393,386
"R1.74,R2.56,R3.24,P1.34",176,172
"R1.67,R2.11,R3.09,P1.34",476,467
"R1.84,R2.46,R3.83,P1.36",381,378
"R1.87,R2.23,R3.13,P1.36",1163,1125
"R1.84,R2.13,R3.31,P1.34",331,324
"R1.92,R2.95,R3.48,P1.36",654,644
"R1.69,R2.26,R3.54,P1.33",310,304
"R1.93,R2.90,R3.74,P1.36",634,624
"R1.71,R2.52,R3.88,P1.33",740,728
"R1.77,R2.53,R3.15,P1.36",390,388
"R1.86,R2.57,R3.48,P1.31",578,559
"R1.80,R2.68,R3.93,P1.35",497,489
"R1.68,R2.90,R3.01,P1.37",206,203
"R1.91,R2.15,R3.74,P1.33",1197,1162
"R1.65,R2.03,R3.17,P1.37",196,194
"R1.66,R2.79,R3.87,P1.31",309,304
"R1.78,R2.17,R3.53,P1.37",521,513
"R1.88,R2.11,R3.19,P1.34",270,267
"R1.75,R2.60,R3.42,P1.31",275,271
"R1.95,R2.29,R3.08,P1.34",963,941
"R1.84,R2.69,R3.40,P1.32",172,170
"R1.76,R2.38,R3.60,P1.37",394,385
"R1.74,R2.49,R3.76,P1.37",412,407
"R1.69,R2.39,R3.52,P1.34",312,305
"R1.91,R2.17,R3.27,P1.35",169,168
"R1.81,R2.64,R3.32,P1.35",158,156
"R1.67,R2.62,R3.23,P1.34",931,906
"R1.68,R2.48,R3.26,P1.37",423,416
"R1.91,R2.60,R3.86,P1.37",294,290
"R1.82,R2.08,R3.90,P1.34",221,217
"R1.72,R2.07,R3.18,P1.37",444,438
"R1.92,R2.96,R3.92,P1.33",352,344
"R1.74,R2.27,R3.32,P1.34",589,575
"R1.84,R2.70,R3.82,P1.36",338,332
"R1.71,R2.43,R3.56,P1.36",263,258
"R1.81,R2.37,R3.21,P1.34",148,146
"R1.85,R2.47,R3.49,P1.33",276,271
"R1.65,R2.07,R3.15,P1.36",1787,1707
"R1.92,R2.10,R3.17,P1.34",253,249
"R1.77,R2.82,R3.69,P1.33",534,521
"R1.87,R2.38,R3.70,P1.35",354,346
"R1.76,R2.83,R3.27,P1.36",144,142
"R1.71,R2.56,R3.24,P1.35",378,371
"R1.77,R2.67,R3.25,P1.34",188,186
"R1.81,R2.64,R3.65,P1.35",389,383
"R1.83,R2.79,R3.10,P1.31",290,286
"R1.68,R2.02,R3.26,P1.37",239,237
"R1.76,R2.76,R3.26,P1.31",536,528
"R1.83,R2.21,R3.56,P1.31",398,392
"R1.90,R2.64,R3.23,P1.33",521,510
"R1.92,R2.84,R3.86,P1.36",712,694
"R1.78,R2.50,R3.79,P1.36",788,769
"R1.93,R2.09,R3.73,P1.33",1889,1828
"R1.85,R2.09,R3.05,P1.37",1687,1601
"R1.93,R2.01,R3.73,P1.35",414,410
"R1.65,R2.74,R3.43,P1.31",330,329
"R1.65,R2.04,R3.48,P1.35",377,371
"R1.79,R2.10,R3.16,P1.37",234,232
"R1.78,R2.43,R3.17,P1.37",266,261
"R1.93,R2.36,R3.37,P1.34",156,156
"R1.95,R2.29,R3.95,P1.36",1908,1793
"R1.68,R2.19,R3.02,P1.37",224,222
"R1.67,R2.27,R3.39,P1.35",477,470
"R1.83,R2.89,R3.08,P1.37",888,869
"R1.69,R2.82,R3.36,P1.34",256,254
"R1.70,R2.58,R3.61,P1.36",466,461
"R1.71,R2.29,R3.72,P1.37",273,269
"R1.71,R2.88,R3.32,P1.36",148,146
"R1.79,R2.26,R3.81,P1.34",238,238
"R1.88,R2.81,R3.30,P1.33",1083,1051
"R1.87,R2.61,R3.84,P1.34",1273,1240
"R1.95,R2.46,R3.54,P1.35",222,219
"R1.96,R2.66,R3.58,P1.34",177,176
"R1.72,R2.89,R3.15,P1.36",384,381
"R1.96,R2.94,R3.12,P1.35",759,741
"R1.75,R2.52,R3.07,P1.36",411,406
"R1.87,R2.39,R3.12,P1.35",453,442
"R1.68,R2.06,R3.28,P1.31",332,328
"R1.69,R2.51,R3.80,P1.35",210,206
"R1.83,R2.35,R3.67,P1.35",545,540
"R1.65,R2.81,R3.85,P1.35",169,167
"R1.74,R2.39,R3.59,P1.37",583,573
"R1.78,R2.19,R3.45,P1.36",1297,1246
"R1.92,R2.21,R3.03,P1.36",322,318
"R1.70,R2.41,R3.23,P1.36",346,343
"R1.91,R2.69,R3.82,P1.34",667,654
"R1.87,R2.02,R3.35,P1.36",479,471
"R1.76,R2.87,R3.04,P1.37",766,751
"R1.87,R2.46,R3.67,P1.35",452,445
"R1.93,R2.32,R3.62,P1.36",242,237
"R1.68,R2.65,R3.29,P1.36",688,674
"R1.84,R2.03,R3.39,P1.33",770,757
"R1.80,R2.57,R3.41,P1.37",943,915
"R1.90,R2.63,R3.93,P1.36",213,213
"R1.68,R2.58,R3.74,P1.37",339,330
"R1.79,R2.87,R3.16,P1.35",826,799
"R1.80,R2.82,R3.45,P1.35",736,725
"R1.88,R2.25,R3.70,P1.36",438,434
"R1.95,R2.18,R3.58,P1.35",280,272
"R1.95,R2.21,R3.77,P1.36",674,662
"R1.81,R2.34,R3.20,P1.35",554,538
"R1.81,R2.14,R3.42,P1.31",148,148
"R1.77,R2.72,R3.16,P1.37",520,511
"R1.72,R2.21,R3.51,P1.36",614,605
"R1.73,R2.57,R3.72,P1.36",455,451
"R1.84,R2.20,R3.46,P1.35",364,361
"R1.96,R2.53,R3.56,P1.33",402,395
"R1.78,R2.36,R3.72,P1.37",814,795
"R1.84,R2.80,R3.64,P1.36",631,616
"R1.88,R2.72,R3.14,P1.37",325,322
"R1.75,R2.76,R3.58,P1.31",249,246
"R1.96,R2.03,R3.51,P1.34",257,256
"R1.69,R2.31,R3.16,P1.35",411,403
"R1.66,R2.06,R3.87,P1.36",572,558
"R1.87,R2.78,R3.38,P1.35",157,156
"R1.92,R2.32,R3.77,P1.36",489,480
"R1.73,R2.09,R3.04,P1.34",801,775
"R1.69,R2.57,R3.85,P1.34",387,380
"R1.96,R2.58,R3.42,P1.37",604,586
"R1.76,R2.65,R3.82,P1.31",1003,983
"R1.86,R2.54,R3.25,P1.34",180,178
"R1.93,R2.38,R3.01,P1.35",453,447
"R1.66,R2.35,R3.07,P1.35",653,643
"R1.95,R2.38,R3.96,P1.33",251,249
"R1.76,R2.74,R3.27,P1.33",346,341
"R1.73,R2.22,R3.20,P1.31",1058,1020
"R1.81,R2.59,R3.61,P1.37",251,248
"R1.84,R2.57,R3.65,P1.37",217,213
"R1.96,R2.71,R3.16,P1.35",195,195
"R1.92,R2.83,R3.16,P1.35",353,348
"R1.77,R2.56,R3.31,P1.35",242,239
"R1.78,R2.59,R3.22,P1.31",300,299
"R1.75,R2.63,R3.02,P1.37",333,329
"R1.85,R2.02,R3.39,P1.33",699,681
"R1.77,R2.49,R3.54,P1.37",262,260
"R1.72,R2.23,R3.42,P1.36",337,322
"R1.70,R2.35,R3.52,P1.32",313,308
"R1.82,R2.78,R3.58,P1.33",279,277
"R1.88,R2.56,R3.27,P1.35",2112,2001
"R1.66,R2.50,R3.79,P1.36",306,300
"R1.84,R2.12,R3.23,P1.34",831,820
"R1.93,R2.20,R3.27,P1.35",302,299
"R1.91,R2.58,R3.05,P1.31",423,415
"R1.84,R2.33,R3.81,P1.36",502,492
"R1.96,R2.04,R3.66,P1.35",821,798
"R1.70,R2.80,R3.72,P1.34",362,354
"R1.89,R2.66,R3.37,P1.34",820,802
"R1.86,R2.18,R3.65,P1.31",183,182
"R1.86,R2.54,R3.46,P1.37",246,246
"R1.75,R2.43,R3.83,P1.36",250,247
"R1.87,R2.57,R3.88,P1.35",812,794
"R1.68,R2.11,R3.25,P1.37",355,347
"R1.69,R2.54,R3.77,P1.31",216,215
"R1.80,R2.78,R3.45,P1.36",1027,989
"R1.88,R2.33,R3.69,P1.36",684,667
"R1.77,R2.81,R3.66,P1.35",364,360
"R1.96,R2.77,R3.65,P1.31",295,293
"R1.89,R2.23,R3.88,P1.35",485,472
"R1.92,R2.79,R3.35,P1.35",158,158
"R1.77,R2.44,R3.59,P1.37",426,418
"R1.88,R2.47,R3.80,P1.36",194,192
"R1.69,R2.85,R3.20,P1.37",1100,1053
"R1.77,R2.12,R3.26,P1.37",505,496
"R1.76,R2.81,R3.88,P1.31",547,530
"R1.85,R2.58,R3.72,P1.35",227,218
"R1.70,R2.04,R3.17,P1.31",217,216
"R1.69,R2.63,R3.82,P1.31",236,230
"R1.92,R2.49,R3.37,P1.36",485,476
"R1.84,R2.39,R3.08,P1.36",420,411
"R1.78,R2.07,R3.74,P1.35",443,441
"R1.96,R2.07,R3.52,P1.35",216,216
"R1.96,R2.20,R3.18,P1.36",210,209
"R1.86,R2.18,R3.53,P1.36",2540,2379
"R1.65,R2.38,R3.83,P1.36",378,369
"R1.87,R2.68,R3.16,P1.35",865,837
"R1.67,R2.02,R3.18,P1.33",500,493
"R1.80,R2.14,R3.11,P1.36",391,386
